1860 - 1932,1860
1844 - 1916,1844
1858 - 1937,1858
1824 - 1906,1824
1844 - 1916,1844
1871 - 1951,1871
1784 - 1861,1784
1844 - 1916,1844
Florence,Florence
1779 - 1843. After Titian (Tiziano Vecellio),1779
1836 - 1910,1836
1743 - 1812,1743
1844 - 1916,1844
1836 - 1910,1836
1823-1880,1823
1888 - 1946,1888
1844 - 1916,1844
1905 - 1998. Made by Libbey Glass Company,1905
1860 - 1932,1860
1858 - 1937,1858
1824 - 1906,1824
1871 - 1951,1871
1784 - 1861,1784
1844 - 1916,1844
1779 - 1843,1779
1743 - 1812,1743
1743 - 1812,1743
1743 - 1812,1743
1823-1880,1823
1743 - 1812,1743
1888 - 1946,1888
1888 - 1946,1888
1836 - 1910,1836
1836 - 1910,1836
1836 - 1910,1836
1836 - 1910,1836
1836 - 1910. Published by Harper's Weekly.,1836
1905 - 1998. Made by Libbey Glass Company,1905
1836 - 1910,1836
1836 - 1910,1836
Cuban.,Cuban
Cuban.,Cuban
1836 - 1910,1836
1835 - 1837,1835
New Jersey,New
1835 - 1837,1835
1835 - 1837,1835
1835 - 1837,1835
Ohio,Ohio
1835 - 1837,1835
New Jersey,New
1835 - 1837,1835
Ohio,Ohio
1835 - 1837,1835
1836 - 1880,1836
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008. Printed by Tamarind Institute,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1917 - 2008,1917
1890 - 1976. Printed by Richard Benson,1890
1890 - 1976. Printed by Richard Benson,1890
1890 - 1976. Printed by Richard Benson,1890
1890 - 1976. Printed by Richard Benson,1890
1890 - 1976,1890
1890 - 1976,1890
1890 - 1976,1890
1890 - 1976,1890
1890 - 1976,1890
1890 - 1976,1890
1917 - 2008,1917
1890 - 1976,1890
1917 - 2008,1917
1890 - 1976,1890
1835 - 1896,1835
active Philadelphia c. 1790 - 1814,active Philadelphia c. 1790
1740 - 1795,1740
1740 - 1795,1740
1740 - 1795,1740
1740 - 1795. Carving attributed to Nicholas Bernard and Martin Jugiez,1740
1740 - 1795. Made for General John Cadwalader,1740
1740 - 1795,1740
1835 - 1896,1835
active Philadelphia c. 1790 - 1814,1790
1740 - 1795. Carving attributed to Nicholas Bernard and Martin Jugiez,1740
1740 - 1795,1740
1740 - 1795,1740
1740 - 1795. Made for General John Cadwalader,1740
1740 - 1795,1740
1740 - 1795,1740
1835 - 1837,1835
New York,New
New York,New
New York,New
New York,New
Ohio,Ohio
1851 - 1888,1851
1851 - 1888,1851
Ohio,Ohio
1851 - 1888,1851
1851 - 1888,1851
1905 - 1998. Made by Libbey Glass Company,1905
born 1925. Made by Knoll,1925
1909 - 2003,1909
1893 - 1998,1893
1908 - 1986. Made from c. 1948 to 1969 by Howard Miller Clock Company,1908
born 1960. Made by Curvet USA.,born 1960
active c. 1896 - 1908,active c. 1896
c. 1900 - c. 1978. Made by Nessen Lamps,1900
1894 - 1984,1894
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1909 - 2003,1909
1909 - 2003,1909
1908 - 1986. Made from c. 1948 to 1969 by Howard Miller Clock Company,1908
1893 - 1998,1893
born 1960. Made by Curvet USA.,1960
c. 1900 - c. 1978. Made by Nessen Lamps,1900
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1894 - 1984,1894
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1905 - 1998. Made by Libbey Glass Company,1905
1909 - 2003,1909
born 1925. Made by Knoll,born 1925
1905 - 1998. Made by Libbey Glass Company,1905
1893 - 1998,1893
born 1960. Made by Curvet USA.,born 1960
1908 - 1986. Made from c. 1948 to 1969 by Howard Miller Clock Company,1908
active c. 1896 - 1908,active c. 1896
c. 1900 - c. 1978. Made by Nessen Lamps,c. 1900
c. 1900 - c. 1978. Made by Nessen Lamps,1900
1894 - 1984,1894
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1988 - present. Made by Knoll,1988
1924 - 2010. Made by General Fireproofing,1924
1904 - 1988. Made by George Kovacs Lighting,1904
1988 - present. Made by Knoll,1988
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1894 - 1984,1894
active c. 1896 - 1908,1896
c. 1900 - c. 1978. Made by Nessen Lamps,c. 1900
active c. 1896 - 1908,1896
born 1960. Made by Curvet USA.,born 1960
1908 - 1986. Made from c. 1948 to 1969 by Howard Miller Clock Company,1908
1904 - 1988. Made by Knoll,1904
1894 - 1984,1894
1894 - 1984,1894
1904 - 1988. Made by George Kovacs Lighting,1904
1924 - 2010. Made by General Fireproofing,1924
1988 - present. Made by Knoll,1988
active c. 1896 - 1908,active c. 1896
1904 - 1988. Made by George Kovacs Lighting,1904
American,American
1908 - 1986. Made from c. 1948 to 1969 by Howard Miller Clock Company,1908
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1904 - 1988. Made by George Kovacs Lighting,1904
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
born 1960. Made by Bozart,born 1960
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
1893 - 1998,1893
born 1960. Made by Umbra,born 1960
1893 - 1998,1893
born 1960. Made by Umbra,1960
born 1960. Made by Umbra,1960
born 1960. Made by Umbra,born 1960
born 1960. Made by Curvet USA.,1960
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
1904 - 1988. Made by George Kovacs Lighting,1904
born 1925. Made by Knoll,born 1925
1893 - 1998,1893
1893 - 1998,1893
born 1925. Made by Knoll,born 1925
1988 - present. Made by Knoll,1988
1924 - 2010. Made by General Fireproofing,1924
New York,New
1851 - 1888,1851
Ohio,Ohio
1851 - 1888,1851
1909 - 2003,1909
1909 - 2003,1909
New York,New
1909 - 2003,1909
1890 - 1976. Printed by Richard Benson,1890
1890 - 1976. Printed by Richard Benson,1890
1890 - 1976. Printed by Richard Benson,1890
1890 - 1976,1890
1890 - 1976. Printed by Richard Benson,1890
1890 - 1976. Printed by Richard Benson,1890
1890 - 1976. Printed by Richard Benson,1890
