"Ravage 2099#24 (November, 1994),","November, 1994"
"Punisher 2099 AD #28 (May, 1995),",24959
"Punisher 2099#20 (September, 1994),","September, 1994"
"Fantastic Four I#37 (April, 1965),","April, 1965"
"Gambit III#1 (September, 1997),","September, 1997"
"Amazing Fantasy I#15 (August, 1962),","August, 1962"
"Iron Man I#117 (December, 1978),","December, 1978"
"Peter Parker, the Spectacular Spider-Man#104 (July, 1985),",
"Strange Tales I#47/4 (June, 1956),","June, 1956"
"Marvel Super Heroes II#14 (May 1968),",May-68
"Captain Marvel I#16 (August, 1969),","August, 1969"
"X-Men I#31 (April, 1967),","April, 1967"
"Digitek#1 (December, 1992),","December, 1992"
"Amazing Spider-Man I#184 (September, 1978),","September, 1978"
"Daredevil II#20/2 (September, 2001),","September, 2001"
"Marvel Knights Spider-Man#2x` (July, 2004),","July, 2004"
"Spider-Man The Quality of Life#1 (July, 2002),",
"Uncanny X-Men#250 (Early October, 1989),","Early October, 1989"
"Defenders I#32 (February, 1976),","February, 1976"
"Fantastic Four Annual#26 (1993),",1993
"Spider-Man Fear Itself Graphic Novel (1992),",1992
"Daredevil II#58 (May, 2004),","May, 2004"
"Marvel Team-Up I#131 (July, 1983),","July, 1983"
"Uncanny X-Men#249 (Late September, 1989),","Late September, 1989"
"Amazing Spider-Man II#515 (February, 2005),","February, 2005"
"Deadly Hands of Kung Fu#19 (December, 1975),",
"(Weying) Amazing Spider-Man I#375 (March, 1993); (She-Venom) Venom Sinner Takes All#2 (September, 1995),","March, 1993"
"Web of Spider-Man Annual#10 (1994) {Edizione Italiana L'Uomo Ragno#174 Marvel Italia (30 agosto 1995)},",1994) {Edizione Italiana L'Uomo Ragno#174 Marvel Italia (30 agosto 1995
"Amazing Fantasy I#15 (June, 1962); (identified) Amazing Spider-Man I#8,","June, 1962); (identified"
"Marvel Team-Up Annual#4 (1981),",1981
"Defenders I#131 (May, 1984),","May, 1984"
"Amazing Spider-Man I#48 (May, 1968),","May, 1968"
"Spider-Man Family Featuring Spider-Man's Amazing Friends#1 (October, 2006),","October, 2006"
"Peter Parker Spider-Man I#82 (August, 1997),","August, 1997"
"Marvel Knights Spider-Man#6 (November, 2004),","November, 2004"
"Marvel Fanfare I#1 (March, 1982),","March, 1982"
"Peter Parker Spider-Man II #50 (January, 2003),",
"Amazing Fantasy I#16 (December, 1995),","December, 1995"
"Underworld#1 (April, 2006),","April, 2006"
"Ultragirl#1 (November, 1996),","November, 1996"
"Peter Parker Spider-Man II#23 (November, 2000),","November, 2000"
"Web of Spider-Man I#84 (January, 1992),","January, 1992"
"Amazing Spider-Man II#1 (January, 1999),","January, 1999"
"(Enchantress as Valkyrie) Avengers I#83 (December, 1970); (Samantha Parrington as Valkyrie) Incredible Hulk I#142 (August, 1971); (Barbara Norriss as Valkyrie) Defenders I#3 (December, 1973); (Brunnhilde back in true body) Defenders I#109 (September, 1982),","December, 1970"
"Marvel Team-Up I#100 (December, 1980),","December, 1980"
"Amazing Scarlet Spider#2 (December, 1995),","December, 1995"
"Deathlok II Annual#2 (1993),",1993
"(comic) Spidey Super Stories#12/2 (September, 1975); (television); Electric Company season 5 episode (1975-1976),","September, 1975"
"Marvel Graphic Novel#22 Spider-Man Hooky (1986),",1986
"Spider-Woman I#33 (December, 1980),","December, 1980"
"(As Gordon) Untold Tales of Spider-Man#12 (August, 1996); (as the Terrier) Untold Tales of Spider-Man#15 (November, 1996),","August, 1996"
"Fantastic Four I#177 (December, 1976),","December, 1976"
"Get Kraven#1 (August, 2002),","August, 2002"
"Peter Parker Spider-Man Annual 2001 (2001),",Annual-68
"(cameo) Amazing Fantasy II#17 (January, 1996); (full) Amazing Fantasy II#18 (March, 1996),","January, 1996"
"Amazing Spider-Man Super Special#1/3 (September, 2004),",25082
"Amazing Spider-Man I#397 (January, 1995),","January, 1995"
"Avengers I#343 (January, 1992),","January, 1992"
"Captain America I#134 (February, 1971),","February, 1971"
"Marvel Team-Up III#9 (August, 2005),","August, 2005"
"Inhumans III#5 (March, 1999),","March, 1999"
"Luke Cage, Hero for Hire#16 (December, 1973),","December, 1973"
"Marvel Team-Up I#96 (August, 1980),","August, 1980"
"Venom The Finale#2 (December 1997),",Dec-97
"Marvel Team-Up I#19 (March, 1974),","March, 1974"
"(Seen) Iron Fist I#1 (November, 1975); (Named as Steel Serpent) Marvel Team-Up I#63 (November, 1977); (Steel Phoenix) Immortal Iron Fist#11 (January 2008),","November, 1975"
"Marvel Graphic Novel#22 Spider-Man Hooky (1986),",1986
"Spider-Man the Arachnis Project#1 (August, 1994),","August, 1994"
"Midnight Sons Unlimited#3 (October, 1993),","October, 1993"
"(Mentioned) REH's Conan the Adventurer; Conan the Barbarian I#13 (January, 1972),","January, 1972"
"Marvel Vision#2 (February, 1996),","February, 1996"
"X-Men/Spider-Man Time's Arrow Book Three (1998),",1998
"Superhelden Agenda '89-'90 (Netherlands, 1989),","Netherlands, 1989"
"Spider-Man The Arachnis Project#1 (August, 1994),",25051
"Captain America I#160 (April, 1973),","April, 1973"
"Machine Man I#16 (August, 1980),","August, 1980"
"Spider-Man Reading Motivation Kit, Skyhook story card (1975),",1975
"Spider-Man Swing Shift Director's Cut#1 (February, 2008) (),","February, 2008) ("
"Fantastic Four I#347 (December 1990),",Dec-90
"Spider Man/Power Man/Storm public service announcement anti-smoking comic (1982),",1982
"Daredevil I#229 (April, 1986),","April, 1986"
"Daredevil I#354 (July, 1996),","July, 1996"
"Amazing Spider-Man I#501 (January, 2004),","January, 2004"
"Amazing Spider-Man II#46 (December, 2002),","December, 2002"
"Peter Parker Spider-Man/Elektra 1998 Annual (October, 1998),","October, 1998"
"Spider-Man Unlimited I#1 (May 1993),",34090
"Amazing Spider-Man I#368 (November, 1992),","November, 1992"
"Captain America Annual I#4 (1977),",1977
"Spectacular Spider-Man II#215 (August, 1994),","August, 1994"
"Venom Lethal Protector#4 (May, 1993),","May, 1993"
"Fleer Ultra Spider-Man (1995),",1995
"Peter Parker Spider-Man II#1 (January, 1999),","January, 1999"
"(Chip) Spectacular Spider-Man II#36 (November, 1979); (Schizoid) Spectacular Spider-Man II#38 (January, 1980),","November, 1979"
"Spider-Man The Power of Terror#2 (February, 1995),","February, 1995"
"Amazing Scarlet Spider#1 (November, 1995),","November, 1995"
"Amazing Spider-Man I#259 (December, 1984),","December, 1984"
"Tales of Suspense I#51 (March, 1964),",24898
"Web of Spider-Man#107/1 (December, 1993),","December, 1993"
"Amazing Spider-Man II#13 (January, 2000),","January, 2000"
"Web of Spider-Man#84 (January, 1992),","January, 1992"
"Web of Spider-Man#110 (March, 1994),","March, 1994"
"Slingers#0 (December, 1998),","December, 1998"
"Spider-Man Unlimited I#6/2 (August, 1994),","August, 1994"
"Daredevil I#103 (September, 1973),","September, 1973"
"Peter Parker Spider-Man I#-1 (July, 1997),",25020
"Howard the Duck I#1 (January, 1976),",24838
"Amazing Spider-Man I#290 (July, 1987),","July, 1987"
"Spider-Man I#15 (October, 1991),","October, 1991"
"White Tiger#1 (January, 2006),","January, 2006"
"Amazing Spider-Man I#409 (March, 1996),","March, 1996"
"Nova I#12 (August, 1977),","August, 1977"
"Spider-Man The Gathering of the Sinister Six novel (March, 1999),","March, 1999"
"Prime I#1 (June, 1993),","June, 1993"
"White Tiger#4 (April, 2006),","April, 2006"
"Spider-Man and His Amazing Friends#1 (December 1981),",Dec-81
"Spectacular Scarlet Spider#1 (November, 1995),","November, 1995"
"Fantastic Four I#82 (January, 1969),","January, 1969"
"Iron Man I#30 (October, 1970),","October, 1970"
"Journey Into Mystery I#53/5 (July, 1959),",25020
"What If? II#92 (December, 1996),","December, 1996"
"Fantastic Four I#12 (March, 1963),","March, 1963"
"Ms. Marvel I#12 (December, 1977),","December, 1977"
"Avengers III#21 (October, 1999),","October, 1999"
"Strange Tales I#165 (February, 1968),","February, 1968"
"Incredible Hulk II#110 (December, 1968),","December, 1968"
"(shadow only) Tales of Suspense I#76 (April, 1966); (fully seen) Tales of Suspense I#77 (May, 1966),","April, 1966"
"Thor I#168 (September, 1969),","September, 1969"
"Fantastic Four I#91 (October, 1969),","October, 1969"
"Plasmer (Marvel UK)#1 (November, 1993),","November, 1993"
"(Seen only) Tales to Astonish I#84/2 (October, 1966); (identified) Tales to Astonish I#85/2 (November, 1966),","October, 1966"
"Yellow Claw#2/5 (Dec, 1956); reprinted in Giant-Size Master of Kung-Fu#4 (Jun, 1975),","Dec, 1956); reprinted in Giant-Size Master of Kung-Fu#4 (Jun, 1975"
"Defenders I#30 (December, 1975),","December, 1975"
"Daredevil II#47 (July, 2003),","July, 2003"
"Amazing Fantasy I#15/1 (August, 1962),","August, 1962"
"Spidey Super Stories#50/5 (Jan 1981),",29587
"Marvel Team-Up I#15 (November, 1973),","November, 1973"
"Daredevil I#148 (September, 1977),","September, 1977"
"Daredevil II#58 (May, 2004),","May, 2004"
"Dakota North#1 (June, 1986),","June, 1986"
"NFL SuperPro Special Edition#1 (September, 1991),",25082
"Spider-Man Battles the Myth Monster (1991),",1991
"Spider-Man Unlimited I#6/2 (August, 1994),","August, 1994"
"Fleer Ultra Spider-Man (1995),",1995
"(Francis Klum) Spider-Man/Black Cat The Evil That Men Do#2 (August, 2002) (Mysterio) Friendly Neighborhood Spider-Man#11 (October, 2006),","August, 2002"
"Amazing Spider-Man I#127 (December, 1973),","December, 1973"
"(As Mysterio) Amazing Spider-Man I#141 (February, 1974); (as Jack O'Lantern/Mad Jack) Spectacular Spider-Man II#241 (December, 1996),","February, 1974"
"Spider-Man Unlimited#11/1 (February, 1996),","February, 1996"
"Amazing Spider-Man I#17 (October, 1964),","October, 1964"
"Avengers I#11 (December, 1964),","December, 1964"
"Amazing Adventures II#25 (July 1974),",Jul-74
"Avengers I #171 (May, 1978),","May, 1978"
"Journey into Mystery I#59/1 (July, 1960),","July, 1960"
"Uncanny X-Men#146 (June, 1981),","June, 1981"
"Avengers West Coast#80 (October, 1994),","October, 1994"
"Fantastic Four I#144 (March, 1974),","March, 1974"
"Fantastic Four I#226 (January, 1981),","January, 1981"
"X-Force I#66 (May, 1997),","May, 1997"
"Avengers I#51 (April, 1968),","April, 1968"
"Journey Into Mystery I#51/5 (March, 1959),",24898
"(Possibly BTS) Black Goliath#2 (April, 1976) (Seen, identified) Marvel Two-In-One#85 (March, 1982),","April, 1976"
"Young Allies#12/3 (spring, 1944),","spring, 1944"
"Tales to Astonish I#9 (May, 1960),",24959
"Thor I#141 (June, 1967),","June, 1967"
"Godzilla#6 (January 1978),",Jan-78
"Uncanny X-Men#146 (June, 1981),","June, 1981"
"Hercules I#1 (September, 1982),","September, 1982"
"Force Works#1 (July, 1994),","July, 1994"
"Generation Hex#1 (April, 1997),","April, 1997"
"The Incredible Hulk II#213 (July, 1977),","July, 1977"
"Spectacular Spider-Man II#231 (February, 1996),","February, 1996"
"Fantastic Four I#49 (April, 1966),","April, 1966"
"Cable/X-Force '96/1 (1996),",1996
"Spectacular Spider-Man II#213 (June, 1994),","June, 1994"
"Captain America I#152 (August, 1972),","August, 1972"
"Fantastic Four I#95 (February, 1970),","February, 1970"
"Marvel Team-Up I#12 (August, 1973),","August, 1973"
"Rampaging Hulk Magazine#2 (April, 1977),","April, 1977"
"Spider-Man Zaps Mr. Zodiac (1976),",1976
"Underworld#1 (April, 2006),","April, 2006"
"Peter Parker Spider-Man II#16 (April, 2000),",24929
"Marvel Team-Up I#92 (April, 1980),","April, 1980"
"Marvel Super-Heroes III#4 (December, 1990),","December, 1990"
"Amazing Spider-Man I#156 (May, 1976),","May, 1976"
"Spider-Man Unlimited I#2/2 (August, 1993),","August, 1993"
"Web of Spider-Man Annual#5 (1989),",1989
"Peter Parker Spider-Man#16 (April, 2000),","April, 2000"
"Marvel Team-Up I#41 (January, 1976) {Albo Italiano L'Uomo Ragno#196 Editoriale Corno},",
"Spider-Man#32 (March, 1993),","March, 1993"
"Daredevil I#16 (May, 1966),","May, 1966"
"Thor I#219 (January, 1974),","January, 1974"
"Avengers I#62 (March, 1969),","March, 1969"
"Shanna the She-Devil I#4 (June, 1973),","June, 1973"
"Strange Tales I#167 (April, 1968),","April, 1968"
"Sub-Mariner Comics#35/4 (August, 1954),","August, 1954"
"Marvel Feature I#7 (January, 1973),","January, 1973"
"Fantastic Four I#131 (February, 1973),","February, 1973"
"Iron Man I#14 (June, 1969),","June, 1969"
"Thor II#33 (March, 2001),","March, 2001"
"Captain America I#213 (September, 1977),","September, 1977"
"Uncanny X-Men#112 (June, 1978),","June, 1978"
"Iron Man I#29 (September, 1970),","September, 1970"
"Untold Tales of Spider-Man#21 (May 1997),",24959
"Uncanny X-Men#191 (March, 1985),","March, 1985"
"Howard the Duck I#22 (March, 1978),","March, 1978"
"Black Goliath#5 (November, 1976),","November, 1976"
"Incredible Hulk II#127 (May, 1970),","May, 1970"
"Fantastic Four I#179 (February, 1977),","February, 1977"
"(as robot) Shogun Warriors#3 (April, 1979); (as living creature) SW#4,","April, 1979"
"Tales of Suspense I#92/2 (August, 1967),",25051
"Iron Man I#32 (December, 1970),","December, 1970"
"Giant-Size Defenders I#2 (October, 1974),","October, 1974"
"Secret Wars#4 (August, 1984),","August, 1984"
"Strange Tales I#164/1 (January, 1968),","January, 1968"
"Sensational She-Hulk#50 (April 1993),",34060
"Journey into Mystery I#62 (November, 1960),",25143
"X-Men I#137 (September, 1980),","September, 1980"
"(name) Savage She-Hulk#15 (April, 1981), (actual) Sensational She-Hulk#53 (June, 1993),","April, 1981"
"Fantastic Force I#14 (December, 1995),","December, 1995"
"X-Men I#135 (July, 1980),","July, 1980"
"(mentioned) Fantastic Four I#390 (July, 1994),","July, 1994"
"(seen) Fantastic Four I#391 (August, 1994),",25051
"Savage She Hulk#9 (October, 1980),","October, 1980"
"Venus#1 (August, 1948),","August, 1948"
"She-Hulk IV#3 (February, 2006),","February, 2006"
"Avengers III#83 (July, 2004),","July, 2004"
"Fantastic Four I#269 (August, 1984),","August, 1984"
"Civil War Front Line#6/2 (October, 2006),",25112
"Fantastic Four I#272 (November, 1984),","November, 1984"
"Giant-Size Spider-Man#4 (April, 1975),","April, 1975"
"Tales of Suspense I#82/2 (October, 1966),",25112
"Howard the Duck I#1 (January, 1976),","January, 1976"
"Amazing Spider-Man I#264 (May, 1985),","May, 1985"
"Marvel Team-Up I#110 (October, 1981),","October, 1981"
"Avengers I#343 (January, 1992),","January, 1992"
"Hostess Advertisement Spider-Man in Break the Bank featured in various Marvel Comics (October, 1977),","October, 1977"
"Luke Cage, Hero for Hire#3 (October, 1972),","October, 1972"
"Amazing Spider-Man I#23 (April, 1965),","April, 1965"
"Elektra I#7 (May, 1997),","May, 1997"
"X-Men I#62 (November, 1969),","November, 1969"
"Silver Sable#16 (September, 1993),","September, 1993"
"(In advertisement) Fast Lane insert#1 (November, 1999); (in person) Fast Lane insert#2 (January, 2000),","November, 1999"
"Daredevil I#25 (February, 1967),","February, 1967"
"Marvel Age I#49 (April, 1987),","April, 1987"
"Vision & Scarlet Witch I#1 (November, 1982),","November, 1982"
"Hostess Fruit Pies ad The Trap from Micronauts I#18 (June,1980) and other issues published in that month,","June,1980"
"Amazing Spider-Man I#611 (January, 2010),","January, 2010"
"Amazing Spider-Man II#657 (May, 2011),","May, 2011"
"Spider-Man Unlimited I#21 (August, 1998),","August, 1998"
