Jefferson,Jefferson
Julio Cesar,Cesar; Julio
Victor,Victor
Dani Alves,Alves; Dani
Dante,Dante
David Luiz,Luiz; David
Benot Assou-Ekotto,Assou-Ekotto; Benot
Henrique,Henrique
Maicon,Maicon
Marcelo,Marcelo
Maxwell,Maxwell
Thiago Silva (c),Silva; Thiago (c)
Bernard,Bernard
Fernandinho,Fernandinho
Hernanes,Hernanes
Luiz Gustavo,Gustavo; Luiz
Oscar,Oscar
Paulinho,Paulinho
Ramires,Ramires
Willian,Willian
Fred,Fred
Hulk,Hulk
J,J
Neymar,Neymar
Charles Itandje,Itandje; Charles
Loec Feudjou,Feudjou; Loec
Sammy N'Djock,N'Djock; Sammy
Allan Nyom,Nyom; Allan
Aurelien Chedjou,Chedjou; Aurelien
Cedric Djeugoue,Djeugoue; Cedric
Dany Nounkeu,Nounkeu; Dany
Henri Bedimo,Bedimo; Henri
Nicolas N'Koulou,N'Koulou; Nicolas
Alex Song,Song; Alex
Edgar Salli,Salli; Edgar
Eyong Enoh,Enoh; Eyong
Jean Makoun,Makoun; Jean
Joel Matip,Matip; Joel
Landry N'Guemo,N'Guemo; Landry
Stephane Mbia,Mbia; Stephane
Benjamin Moukandjo,Moukandjo; Benjamin
Fabrice Olinga,Olinga; Fabrice
Maxim Choupo-Moting,Choupo-Moting; Maxim
Pierre Webo,Webo; Pierre
Samuel Eto'o (c),Samuel Eto'o (c)
Vincent Aboubakar,Aboubakar; Vincent
Danijel Subasic,Subasic; Danijel
Oliver Zelenika,Zelenika; Oliver
Stipe Pletikosa,Pletikosa; Stipe
Danijel Pranjic,Pranjic; Danijel
Darijo Srna (c),Srna; Darijo (c)
Dejan Lovren,Lovren; Dejan
Domagoj Vida,Vida; Domagoj
Gordon Schildenfeld,Schildenfeld; Gordon
Sime Vrsaljko,Vrsaljko; Sime
Vedran Corluka,Corluka; Vedran
Milan Badelj,Badelj; Milan
Ivan Perisic,Perisic; Ivan
Ivan Rakitic,Rakitic; Ivan
Luka Modric,Modric; Luka
Marcelo Brozovic,Brozovic; Marcelo
Mateo Kovacic,Kovacic; Mateo
Ognjen Vukojevic,Vukojevic; Ognjen
Sammir,Sammir
Ante Rebic,Rebic; Ante
Eduardo,Eduardo
Ivica Olic,Olic; Ivica
Mario Mandzukic,Mandzukic; Mario
Nikica Jelavic,Jelavic; Nikica
Alfredo Talavera,Talavera; Alfredo
Guillermo Ochoa,Ochoa; Guillermo
Jose de Jesus Corona,
Andres Guardado,Guardado; Andres
Carlos Salcido,Salcido; Carlos
Diego Reyes,Reyes; Diego
Francisco Javier Rodriguez,
Hector Moreno,Moreno; Hector
Miguel Angel Ponce,Angel Ponce; Miguel
Miguel Layun,Layun; Miguel
Paul Aguilar,Aguilar; Paul
Rafael Marquez (c),Marquez; Rafael (c)
Carlos Pena,Pena; Carlos
Hector Herrera,Herrera; Hector
Isaac Brizuela,Brizuela; Isaac
Javier Aquino,Aquino; Javier
Jose Juan Vazquez,
Marco Fabian,Fabian; Marco
Alan Pulido,Pulido; Alan
Giovani dos Santos,
Javier Hernandez,Hernandez; Javier
Oribe Peralta,Peralta; Oribe
Raul Jimenez,Jimenez; Raul
Eugene Galekovic,Galekovic; Eugene
Mathew Ryan,Ryan; Mathew
Mitchell Langerak,Langerak; Mitchell
Alex Wilkinson,Wilkinson; Alex
Bailey Wright,Wright; Bailey
Ivan Franjic,Franjic; Ivan
Jason Davidson,Davidson; Jason
Matthew Spiranovic,Spiranovic; Matthew
Ryan McGowan,McGowan; Ryan
Ben Halloran,Halloran; Ben
Dario Vidosic,Vidosic; Dario
James Holland,Holland; James
James Troisi,Troisi; James
Mark Bresciano,Bresciano; Mark
Mark Milligan,Milligan; Mark
Massimo Luongo,Luongo; Massimo
Matt McKay,McKay; Matt
Mile Jedinak (c),Jedinak; Mile (c)
Oliver Bozanic,Bozanic; Oliver
Tommy Oar,Oar; Tommy
Adam Taggart,Taggart; Adam
Mathew Leckie,Leckie; Mathew
Tim Cahill,Cahill; Tim
Claudio Bravo (c),Bravo; Claudio (c)
Cristopher Toselli,Toselli; Cristopher
Johnny Herrera,Herrera; Johnny
Eugenio Mena,Mena; Eugenio
Gary Medel,Medel; Gary
Gonzalo Jara,Jara; Gonzalo
Jose Rojas,Rojas; Jose
