"(1988-05-05) 5 May 1988 (age 25) Tottenham, Greater London, UK,",5/5/1988
"(1948-01-13) January 13, 1948 (age 65) Seattle, Washington, USA,",13-01-48
"(1968-03-11) March 11, 1968 (age 45) Bethesda, Maryland, USA,",11/3/1968
"(1956-03-05)March 5, 1956 Santa Monica, California, U.S.,",5/3/1956
"(1983-04-15) 15 April 1983 (age 30) Southampton, Hampshire, England,",15-04-83
"(1953-02-26) February 26, 1953 (age 60) New Haven, Connecticut, United States,",26-02-53
"(1940-03-19) 19 March 1940 (age 73) Liverpool, England,",19/3/1940
"(1944-09-12)September 12, 1944 Galveston, Texas, United States,",12/9/1944
"(1958-08-29)August 29, 1958 Gary, Indiana, U.S.,",
"(1926-05-26)May 26, 1926 Alton, Illinois, U.S.,",
"(1983-11-10) November 10, 1983 (age 30) Longview, Texas, U.S.,",
"(1975-02-04) 4 February 1975 (age 38) Sydney, New South Wales, Australia,",4/2/1975
"(1978-12-02) December 2, 1978 (age 35) Victoria, British Columbia, Canada,",
"(1948-06-19)19 June 1948 Rangoon, Burma,",19/6/1948
"(1980-01-28) January 28, 1980 (age 33) Jamestown, New York, U.S.,",28-01-80
"(1945-07-26) July 26, 1945 (age 68) Durham, North Carolina, United States,",26-07-45
"(1984-05-14) 14 May 1984 (age 29) Witham, England, United Kingdom,",14-05-84
"(1982-12-08) December 8, 1982 (age 30)[1] Saint James, Port of Spain, Trinidad and Tobago,",8/12/1982
"(1941-09-09)September 9, 1941 Dawson, Georgia, U.S.,",
"(1948-10-13)13 October 1948 Faisalabad, Punjab, Pakistan,",13-10-48
"(1960-05-10) 10 May 1960 (age 53) Dublin, Ireland,",10/5/1960
"(1951-01-30) 30 January 1951 (age 62) Middlesex, London, England,",30-01-51
"(1990-09-20) September 20, 1990 (age 23) Albany, Georgia, U.S.,",
"(1947-03-25) 25 March 1947 (age 66) Pinner, Middlesex, England,",25-03-47
"(1949-11-08) November 8, 1949 (age 64) Burbank, California, United States,",8/11/1949
"(1990-11-26) 26 November 1990 (age 23) Pristina, SFR Yugoslavia,",26-11-90
"(1974-02-05) 5 February 1974 (age 39),",
"(1974-02-13) 13 February 1974 (age 39) Stoke-on-Trent, Staffordshire, England,",13-02-13) 13 February 1974 (age 39) Stoke-on-74
"(1977-03-10) March 10, 1977 (age 36) Los Angeles, California, U.S.,",10/3/1977
"(1945-01-10) 10 January 1945 (age 68) Highgate, North London, England,",10/1/1945
"(1964-01-08) 8 January 1964 (age 49) St. Catharines, Ontario, Canada,",8/1/1964
"(1967-05-01) May 1, 1967 (age 46) Delhi, Louisiana, U.S.,",
"(1979-12-07) December 7, 1979 (age 34) Eureka, California, U.S.,",7/12/1979
"(1992-07-22) July 22, 1992 (age 21) Grand Prairie, Texas, U.S.,",22-07-92
"(1971-04-16)April 16, 1971 Lake Jackson, Texas, United States,",16/4/1971
"(1966-12-08) 8 December 1966 (age 46),",
"(1948-07-21) 21 July 1948 (age 65) Marylebone, London, United Kingdom,",21-07-48
"(1950-05-13) May 13, 1950 (age 63) Saginaw, Michigan, U.S.,",
"(1989-12-13) December 13, 1989 (age 23) Reading, Pennsylvania, U.S.,",
"(1985-07-17) 17 July 1985 (age 28) Harrow, London, England,",17-07-85
"(1967-09-29) 29 September 1967 (age 46),",29-09-67
"(1947-02-14)February 14, 1947 Washington, D.C., United States,",14/2/1947
"(1953-10-15) October 15, 1953 (age 60) Gary, Indiana, U.S.,",15-10-53
"(1984-11-28) November 28, 1984 (age 29) Petersburg, Virginia, U.S.,",28-11-84
"(1978-12-30) December 30, 1978 (age 34) Los Angeles, California, U.S.,",30-12-78
"(1980-08-16) August 16, 1980 (age 33) Milford, Pennsylvania, U.S.,",
"(1991-01-12) 12 January 1991 (age 22)[2] Bromley, London, England,",12/1/1991
"(1933-04-29) April 29, 1933 (age 80)[1] Abbott, Texas, United States,",29/04/1933
"(1953-03-23) March 23, 1953 (age 60) Chicago, Illinois, United States,",
"(1981-12-02) December 2, 1981 (age 32) McComb, Mississippi, U.S.,",2/2/1981
"(1945-06-25) June 25, 1945 (age 68) New York City, New York, United States,",25-06-45
"(1983-03-10) March 10, 1983 (age 30)[1] Muskogee, Oklahoma, United States,",10/3/1983
"(1980-12-18) December 18, 1980 (age 32) Staten Island, New York, U.S.,",18-12-80
"(1951-09-07) September 7, 1951 (age 62) Akron, Ohio, United States,",
"(1945-05-07) 7 May 1945 (age 68),",7/5/1945
"(1985-10-25) October 25, 1985 (age 28) Austin, Texas, United States,",
"(1997-01-11) 11 January 1997 (age 16) Gold Coast, QLD, Australia,",11/1/1997
"(1985-05-28) May 28, 1985 (age 28) Newbury Park, California, United States,",28-05-85
"(1941-08-14) August 14, 1941 (age 72) Elkhart, Indiana, U.S.,",
"(1943-12-21) 21 December 1943 (age 69) Lingen, Herefordshire, England,",21-12-43
"(1979-02-26) 26 February 1979 (age 34) Leeds, West Yorkshire, England,",26-02-79
"(1974-11-02) November 2, 1974 (age 39) Austin, Texas, United States,",2/11/1974
"(1973-12-07) 7 December 1973 (age 40),",
"(1952-09-09) 9 September 1952 (age 61),",
"(1947-01-08) 8 January 1947 (age 66) London, England,",8/1/1947
"(1992-08-20) August 20, 1992 (age 21) Albuquerque, New Mexico, U.S.,",20-08-92
"(1992-11-23) November 23, 1992 (age 21) Nashville, Tennessee, U.S.,",23-11-92
"(1945-07-29)July 29, 1945 Rio de Janeiro, Rio de Janeiro, Brazil,",29-07-45
"(1991-02-17) 17 February 1991 (age 22) Halifax, England,",17/2/1991
"(1986-12-30) 30 December 1986 (age 26) Lyonshall, Herefordshire, England,",30-12-86
"(1986-06-21) June 21, 1986 (age 27) New York City, New York, U.S.,",21-06-86
"(1928-12-30)December 30, 1928 McComb, Mississippi, United States,",30-12-28
"(1935-01-08)January 8, 1935 Tupelo, Mississippi, U.S.,",
"(1971-02-26) February 26, 1971 (age 42) Dallas, Texas, United States,",
"(1933-02-21)February 21, 1933 Tryon, North Carolina, U.S.,",21/2/1933
"(1915-12-12)December 12, 1915 Hoboken, New Jersey, U.S.[2],",12/1915/1915
"(1978-05-12) May 12, 1978 (age 35) Los Angeles, California, United States,",12/5/1978
"(1965-10-30) 30 October 1965 (age 48) London, England, United Kingdom,",30-10-65
"(1977-02-04) February 4, 1977 (age 36) South Fallsburg, New York, United States,",4/2/1977
"(1945-08-31) 31 August 1945 (age 68),",
"(1963-06-25) 25 June 1963 (age 50) East Finchley, London, England,",25-06-63
"(1972-08-06) 6 August 1972 (age 41)[1][2][3][4] Watford, Hertfordshire, United Kingdom,",6/8/1972
"(1964-09-28) 28 September 1964 (age 49) Caen, France,",28/9/1964
"(1997-08-16) August 16, 1997 (age 16)[1] Wichita Falls, Texas, USA[2],",16-08-97
"(1921-11-29)November 29, 1921 Bukan, West Azerbaijan, Iran,",29-11-21
"(1943-12-31)December 31, 1943 Roswell, New Mexico, U.S.,",31/2/1943
"(1990-06-07) 7 June 1990 (age 23) Sydney, Australia,",7/6/1990
"(1932-02-26)February 26, 1932 Kingsland, Arkansas, United States,",26-02-32
"(1934-06-09)June 9, 1934 Detroit, Michigan, U.S.,",
"(1924-06-03)June 3, 1924 Ruleville, Mississippi, United States,",3/6/1924
"(1938-01-25)January 25, 1938 Los Angeles, California, U.S.,",25/1/1938
"(1974-02-22) 22 February 1974 (age 39) Tidworth, Wiltshire, United Kingdom,",22-02-74
"(1933-05-03)May 3, 1933 Barnwell, South Carolina, United States,",3/5/1933
"(1942-06-18) 18 June 1942 (age 71) Liverpool, England,",18-06-42
"(1948-03-12) March 12, 1948 (age 65) Boston, Massachusetts, United States,",12/3/1948
"(1977-06-23) June 23, 1977 (age 36) Mechanicsville, Virginia, U.S.,",23-06-77
"(1966-11-17)November 17, 1966 Anaheim, California, United States,",17/1/1966
"(1988-03-27) 27 March 1988 (age 25) Chadwell Heath, London, UK,",27-03-88
"(1987-04-11) 11 April 1987 (age 26) Dover, Kent, England,",11/4/1987
"(1977-10-16) October 16, 1977 (age 36) Bridgeport, Connecticut, United States,",16-10-77
"(1942-11-27)November 27, 1942 Seattle, Washington, US,",27-11-42
"(1939-11-26) November 26, 1939 (age 74) Nutbush, Tennessee, U.S.,",
"(1978-12-28) December 28, 1978 (age 34) Springfield, Ohio, U.S.,",
"(1989-12-22) December 22, 1989 (age 23) Phoenix, Arizona, U.S.,",22-12-89
"(1926-03-16) March 16, 1926 (age 87) Newark, New Jersey, US,",16/3/1926
"(1986-09-03) 3 September 1986 (age 27) Mangere, Auckland,",3/9/1986
"(1994-03-01) March 1, 1994 (age 19) London, Ontario, Canada,",1/3/1994
"(1981-01-31) January 31, 1981 (age 32) Memphis, Tennessee, U.S.,",31-01-81
"(1987-07-06) 6 July 1987 (age 26) Harrow, London, England[1],",6/7/1987
"(1984-10-25) October 25, 1984 (age 29) Santa Barbara, California, U.S.,",25-10-84
"(1954-12-25) 25 December 1954 (age 58),",
"(1989-05-08) 8 May 1989 (age 24) London, United Kingdom[1],",8/5/1989
"(1981-02-11) February 11, 1981 (age 32) Atlanta, Georgia, United States,",
"(1982-04-24) April 24, 1982 (age 31) Fort Worth, Texas, U.S.,",24-04-82
"(1987-03-01) March 1, 1987 (age 26)[1] Los Angeles, California, United States,",1/3/1987
"(1990-02-03) February 3, 1990 (age 23) Miami, Florida, United States,",3/2/1990
"(1986-09-14) 14 September 1986 (age 27) Accra, Greater Accra, Ghana,",14-09-86
"(1968-05-28) 28 May 1968 (age 45) Melbourne, Victoria, Australia,",28-05-68
"(1948-12-31)December 31, 1948 Boston, Massachusetts, U.S.,",
