"$33,926 per year (in-state, full-time); $48,832 per year (out-of-state, full-time),","$48,832 "
"$57,026 per year (full-time),","$57,026 "
"$19,975 per year (in-state, full-time); $29,975 per year (out-of-state, full-time),","$29,975 "
"$56,000 per year (full-time),","$56,000 "
"$50,000 per year (in-state, full-time); $55,000 per year (out-of-state, full-time),","$55,000 "
"$57,300 per year (full-time),","$57,300 "
"$21,900 per year (full-time),","$21,900 "
"$48,515 per year (full-time),","$48,515 "
"$52,828 per year (full-time),","$52,828 "
"$27,400 per year (in-state, full-time); $48,681 per year (out-of-state, full-time),","$48,681 "
"$43,460 per year (full-time),","$43,460 "
"$91,180 per program (full-time),","$91,180 "
"$57,300 per year (full-time),","$57,300 "
"$57,920 per year (full-time),","$57,920 "
"$53,500 per year (full-time),","$53,500 "
"$57,026 per year (full-time),","$57,026 "
"$51,422 per year (in-state, full-time); $53,969 per year (out-of-state, full-time),","$53,969 "
"$50,000 per year (in-state, full-time); $55,000 per year (out-of-state, full-time),","$55,000 "
"$33,926 per year (in-state, full-time); $48,832 per year (out-of-state, full-time),","$48,832 "
"$48,515 per year (full-time),","$48,515 "
"$24,478 per year (in-state, full-time); $43,460 per year (out-of-state, full-time),","$43,460 "
"$20,622 per year (in-state, full-time); $36,033 per year (out-of-state, full-time),","$36,033 "
"$57,026 per year (full-time),","$57,026 "
"$56,000 per year (full-time),","$56,000 "
"$56,550 per year (full-time),","$56,550 "
"$58,384 per year (full-time),","$58,384 "
"$52,900 per year (full-time),","$52,900 "
"$52,828 per year (full-time),","$52,828 "
"$48,243 per year (in-state, full-time); $54,530 per year (out-of-state, full-time),","$54,530 "
"$50,000 per year (in-state, full-time); $55,000 per year (out-of-state, full-time),","$55,000 "
"$27,400 per year (in-state, full-time); $48,681 per year (out-of-state, full-time),","$48,681 "
"$51,422 per year (in-state, full-time); $53,969 per year (out-of-state, full-time),","$53,969 "
"$48,515 per year (full-time),","$48,515 "
"$57,026 per year (full-time),","$57,026 "
"$56,000 per year (full-time),","$56,000 "
"$52,828 per year (full-time),","$52,828 "
"$58,384 per year (full-time),","$58,384 "
"$57,300 per year (full-time),","$57,300 "
"$57,920 per year (full-time),","$57,920 "
"$53,500 per year (full-time),","$53,500 "
"$51,422 per year (in-state, full-time); $53,969 per year (out-of-state, full-time),","$53,969 "
"$56,550 per year (full-time),","$56,550 "
"$48,243 per year (in-state, full-time); $54,530 per year (out-of-state, full-time),","$54,530 "
"$50,000 per year (in-state, full-time); $55,000 per year (out-of-state, full-time),","$55,000 "
"$57,920 per year (full-time),","$57,920 "
"$55,800 per year (full-time),","$55,800 "
"$33,926 per year (in-state, full-time); $48,832 per year (out-of-state, full-time),","$48,832 "
"$20,622 per year (in-state, full-time); $36,033 per year (out-of-state, full-time),","$36,033 "
"$33,230 per year (in-state, full-time); $45,000 per year (out-of-state, full-time),","$45,000 "
"$57,026 per year (full-time),","$57,026 "
"$40,158 per year (in-state, full-time); $47,448 per year (out-of-state, full-time),","$47,448 "
"$67,000 per program (in-state, full-time); $67,000 per program (out-of-state, full-time),","$67,000 "
"$57,300 per year (full-time),","$57,300 "
"$52,828 per year (full-time),","$52,828 "
"$24,478 per year (in-state, full-time); $43,460 per year (out-of-state, full-time),","$43,460 "
"$43,080 per year (full-time),","$43,080 "
"$57,026 per year (full-time),","$57,026 "
"$42,296 per program (in-state, full-time); $70,176 per program (out-of-state, full-time),","$70,176 "
"$50,000 per year (in-state, full-time); $55,000 per year (out-of-state, full-time),","$55,000 "
"$52,828 per year (full-time),","$52,828 "
"$58,384 per year (full-time),","$58,384 "
"$48,515 per year (full-time),","$48,515 "
"$53,500 per year (full-time),","$53,500 "
"$51,422 per year (in-state, full-time); $53,969 per year (out-of-state, full-time),","$53,969 "
"$52,900 per year (full-time),","$52,900 "
"$57,300 per year (full-time),","$57,300 "
"$53,500 per year (full-time),","$53,500 "
"$57,300 per year (full-time),","$57,300 "
"$57,026 per year (full-time),","$57,026 "
"$46,460 per year (in-state, full-time); $50,778 per year (out-of-state, full-time),","$50,778 "
"$56,550 per year (full-time),","$56,550 "
"$50,000 per year (in-state, full-time); $55,000 per year (out-of-state, full-time),","$55,000 "
"$51,422 per year (in-state, full-time); $53,969 per year (out-of-state, full-time),","$53,969 "
"$56,160 per year (full-time),","$56,160 "
"$58,384 per year (full-time),","$58,384 "
"$52,900 per year (full-time),","$52,900 "
"$56,000 per year (full-time),","$56,000 "
"$56,550 per year (full-time),","$56,550 "
"$57,026 per year (full-time),","$57,026 "
"$57,300 per year (full-time),","$57,300 "
"$52,900 per year (full-time),","$52,900 "
"$53,500 per year (full-time),","$53,500 "
"$56,000 per year (full-time),","$56,000 "
"$58,384 per year (full-time),","$58,384 "
"$50,000 per year (in-state, full-time); $55,000 per year (out-of-state, full-time),","$55,000 "
"$51,422 per year (in-state, full-time); $53,969 per year (out-of-state, full-time),","$53,969 "
"$52,828 per year (full-time),","$52,828 "
"$33,926 per year (in-state, full-time); $48,832 per year (out-of-state, full-time),","$48,832 "
"$55,050 per year (full-time),","$55,050 "
"$57,300 per year (full-time),","$57,300 "
"$53,500 per year (full-time),","$53,500 "
"$51,422 per year (in-state, full-time); $53,969 per year (out-of-state, full-time),","$53,969 "
"$56,550 per year (full-time),","$56,550 "
"$58,384 per year (full-time),","$58,384 "
"$57,026 per year (full-time),","$57,026 "
"$50,000 per year (in-state, full-time); $55,000 per year (out-of-state, full-time),","$55,000 "
"$52,900 per year (full-time),","$52,900 "
"$52,828 per year (full-time),","$52,828 "
"$57,920 per year (full-time),","$57,920 "
"$55,800 per year (full-time),","$55,800 "
"$57,026 per year (full-time),","$57,026 "
"$57,300 per year (full-time),","$57,300 "
"$50,000 per year (in-state, full-time); $55,000 per year (out-of-state, full-time),","$55,000 "
"$56,550 per year (full-time),","$56,550 "
"$22,316 per year (in-state, full-time); $42,082 per year (out-of-state, full-time),","$42,082 "
"$58,384 per year (full-time),","$58,384 "
"$53,500 per year (full-time),","$53,500 "
"$24,478 per year (in-state, full-time); $43,460 per year (out-of-state, full-time),","$43,460 "
"$33,926 per year (in-state, full-time); $48,832 per year (out-of-state, full-time),","$48,832 "
"$57,920 per year (full-time),","$57,920 "
"$26,146 per year (in-state, full-time); $41,476 per year (out-of-state, full-time),","$41,476 "
"$21,676 per year (in-state, full-time); $34,886 per year (out-of-state, full-time),","$34,886 "
"$26,968 per year (in-state, full-time); $44,280 per year (out-of-state, full-time),","$44,280 "
"$57,300 per year (full-time),","$57,300 "
"$23,002 per year (in-state, full-time); $37,550 per year (out-of-state, full-time),","$37,550 "
"$55,800 per year (full-time),","$55,800 "
"$57,026 per year (full-time),","$57,026 "
"$22,316 per year (in-state, full-time); $42,082 per year (out-of-state, full-time),","$42,082 "
"$50,000 per year (in-state, full-time); $55,000 per year (out-of-state, full-time),","$55,000 "
"$34,539 per program (in-state, full-time); $65,355 per program (out-of-state, full-time),","$65,355 "
"$11,839 per year (in-state, full-time); $25,166 per year (out-of-state, full-time),","$25,166 "
"$630 per credit (in-state, full-time); $1,206 per credit (out-of-state, full-time),","$1,206 "
"$1,286 per credit (full-time),","$1,286 "
"$41,250 per year (full-time),","$41,250 "
"$11,432 per year (in-state, full-time); $24,698 per year (out-of-state, full-time),","$24,698 "
"$11,336 per year (in-state, full-time); $28,648 per year (out-of-state, full-time),","$28,648 "
"$19,616 per year (in-state, full-time); $39,666 per year (out-of-state, full-time),","$39,666 "
"$1,712 per credit (full-time),","$1,712 "
"$7,400 per year (in-state, full-time); $22,400 per year (out-of-state, full-time),","$22,400 "
"$397 per credit (in-state, full-time); $1,155 per credit (out-of-state, full-time),","$1,155 "
"$13,278 per year (in-state, full-time); $22,602 per year (out-of-state, full-time),","$22,602 "
"$1,712 per credit (full-time),","$1,712 "
"$11,839 per year (in-state, full-time); $25,166 per year (out-of-state, full-time),","$25,166 "
"$41,250 per year (full-time),","$41,250 "
"$38,480 per year (full-time),","$38,480 "
"$1,286 per credit (full-time),","$1,286 "
"$17,670 per year (in-state, full-time); $30,374 per year (out-of-state, full-time),","$30,374 "
"$8,402 per year (in-state, full-time); $16,338 per year (out-of-state, full-time),","$16,338 "
"$11,336 per year (in-state, full-time); $28,648 per year (out-of-state, full-time),","$28,648 "
"$630 per credit (in-state, full-time); $1,206 per credit (out-of-state, full-time),","$1,206 "
"$13,278 per year (in-state, full-time); $22,602 per year (out-of-state, full-time),","$22,602 "
"$13,623 per year (in-state, full-time); $26,241 per year (out-of-state, full-time),","$26,241 "
"$41,250 per year (full-time),","$41,250 "
"$38,480 per year (full-time),","$38,480 "
"$1,712 per credit (full-time),","$1,712 "
"$11,839 per year (in-state, full-time); $25,166 per year (out-of-state, full-time),","$25,166 "
"$1,286 per credit (full-time),","$1,286 "
"$19,616 per year (in-state, full-time); $39,666 per year (out-of-state, full-time),","$39,666 "
"$11,220 per year (in-state, full-time); $26,322 per year (out-of-state, full-time),","$26,322 "
"$42,224 per year (full-time),","$42,224 "
"$11,220 per year (in-state, full-time); $15,102 per year (out-of-state, full-time),","$15,102 "
"$13,278 per year (in-state, full-time); $22,602 per year (out-of-state, full-time),","$22,602 "
"$630 per credit (in-state, full-time); $1,206 per credit (out-of-state, full-time),","$1,206 "
"$17,670 per year (in-state, full-time); $30,374 per year (out-of-state, full-time),","$30,374 "
"$11,839 per year (in-state, full-time); $25,166 per year (out-of-state, full-time),","$25,166 "
"$41,250 per year (full-time),","$41,250 "
"$19,616 per year (in-state, full-time); $39,666 per year (out-of-state, full-time),","$39,666 "
"$551 per credit (in-state, full-time); $1,188 per credit (out-of-state, full-time),","$1,188 "
"$11,432 per year (in-state, full-time); $24,698 per year (out-of-state, full-time),","$24,698 "
"$1,712 per credit (full-time),","$1,712 "
"$630 per credit (in-state, full-time); $1,206 per credit (out-of-state, full-time),","$1,206 "
"$11,220 per year (in-state, full-time); $26,322 per year (out-of-state, full-time),","$26,322 "
"$8,402 per year (in-state, full-time); $16,338 per year (out-of-state, full-time),","$16,338 "
"$17,670 per year (in-state, full-time); $30,374 per year (out-of-state, full-time),","$30,374 "
"$11,220 per year (in-state, full-time); $15,102 per year (out-of-state, full-time),","$15,102 "
"$14,570 per year (in-state, full-time); $22,320 per year (out-of-state, full-time),","$22,320 "
"$630 per credit (in-state, full-time); $1,206 per credit (out-of-state, full-time),","$1,206 "
"$1,286 per credit (full-time),","$1,286 "
"$11,839 per year (in-state, full-time); $25,166 per year (out-of-state, full-time),","$25,166 "
"$1,712 per credit (full-time),","$1,712 "
"$7,400 per year (in-state, full-time); $22,400 per year (out-of-state, full-time),","$22,400 "
"$19,616 per year (in-state, full-time); $39,666 per year (out-of-state, full-time),","$39,666 "
"$13,278 per year (in-state, full-time); $22,602 per year (out-of-state, full-time),","$22,602 "
"$11,336 per year (in-state, full-time); $28,648 per year (out-of-state, full-time),","$28,648 "
"$13,623 per year (in-state, full-time); $26,241 per year (out-of-state, full-time),","$26,241 "
"$11,432 per year (in-state, full-time); $24,698 per year (out-of-state, full-time),","$24,698 "
"$397 per credit (in-state, full-time); $1,155 per credit (out-of-state, full-time),","$1,155 "
"$19,616 per year (in-state, full-time); $39,666 per year (out-of-state, full-time),","$39,666 "
"$630 per credit (in-state, full-time); $1,206 per credit (out-of-state, full-time),","$1,206 "
"$11,220 per year (in-state, full-time); $15,102 per year (out-of-state, full-time),","$15,102 "
"$17,670 per year (in-state, full-time); $30,374 per year (out-of-state, full-time),","$30,374 "
"$1,712 per credit (full-time),","$1,712 "
"$7,400 per year (in-state, full-time); $22,400 per year (out-of-state, full-time),","$22,400 "
"$42,224 per year (full-time),","$42,224 "
"$1,473 per credit (full-time),","$1,473 "
"$397 per credit (in-state, full-time); $1,155 per credit (out-of-state, full-time),","$1,155 "
"$38,480 per year (full-time),","$38,480 "
"$551 per credit (in-state, full-time); $1,188 per credit (out-of-state, full-time),","$1,188 "
"$630 per credit (in-state, full-time); $1,206 per credit (out-of-state, full-time),","$1,206 "
"$19,616 per year (in-state, full-time); $39,666 per year (out-of-state, full-time),","$39,666 "
"$41,250 per year (full-time),","$41,250 "
"$7,400 per year (in-state, full-time); $22,400 per year (out-of-state, full-time),","$22,400 "
"$11,839 per year (in-state, full-time); $25,166 per year (out-of-state, full-time),","$25,166 "
"$1,286 per credit (full-time),","$1,286 "
"$1,712 per credit (full-time),","$1,712 "
"$13,623 per year (in-state, full-time); $26,241 per year (out-of-state, full-time),","$26,241 "
"$13,278 per year (in-state, full-time); $22,602 per year (out-of-state, full-time),","$22,602 "
