Print on Paper,thesauiri/material/Print on Paper
Oil on Canvas,thesauiri/material/Oil on Canvas
Watercolor,thesauiri/material/Watercolor
Bronze,thesauiri/material/Bronze
Bronze,thesauiri/material/Bronze
Bronze,thesauiri/material/Bronze
Oil on Board,thesauiri/material/Oil on Board
Oil on Board,thesauiri/material/Oil on Board
pencil and ink on paper,thesauiri/material/pencil and ink on paper
Oil on Canvas,thesauiri/material/Oil on Canvas
Oil on Board,thesauiri/material/Oil on Board
ink on paper,thesauiri/material/ink on paper
Oil on Canvas,thesauiri/material/Oil on Canvas
Oil on Canvas,thesauiri/material/Oil on Canvas
Bronze,thesauiri/material/Bronze
print on paper,thesauiri/material/print on paper
Bronze,thesauiri/material/Bronze
print on paper,thesauiri/material/print on paper
lithograph,thesauiri/material/lithograph
Bronze,thesauiri/material/Bronze
Marble,thesauiri/material/Marble
Slate,thesauiri/material/Slate
Black Marble,thesauiri/material/Black Marble
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
"Clay, polychrome","thesauiri/material/Clay, polychrome"
"Clay, polychrome","thesauiri/material/Clay, polychrome"
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Clay,thesauiri/material/Clay
Ink on Paper,thesauiri/material/Ink on Paper
Ink on Paper,thesauiri/material/Ink on Paper
"Buckskin, red felt, feathers, bells","thesauiri/material/Buckskin, red felt, feathers, bells"
White-on-Black ware,thesauiri/material/White-on-Black ware
Oil on Board,thesauiri/material/Oil on Board
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored engraving,thesauiri/material/Hand-colored engraving
Hand-colored engraving,thesauiri/material/Hand-colored engraving
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
watercolor and pencil on paper,thesauiri/material/watercolor and pencil on paper
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand Colored engraving,thesauiri/material/Hand Colored engraving
Hand-colored engraving,thesauiri/material/Hand-colored engraving
Hand-colored engraving,thesauiri/material/Hand-colored engraving
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-Colored Engraving,thesauiri/material/Hand-Colored Engraving
Hand-colored engraving,thesauiri/material/Hand-colored engraving
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
ink on paper,thesauiri/material/ink on paper
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Oil on Canvas,thesauiri/material/Oil on Canvas
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Hand-colored Lithograph,thesauiri/material/Hand-colored Lithograph
Oil on Canvas,thesauiri/material/Oil on Canvas
Bronze,thesauiri/material/Bronze
Colorado Yule Marble,thesauiri/material/Colorado Yule Marble
Bronze,thesauiri/material/Bronze
Bronze,thesauiri/material/Bronze
Bronze,thesauiri/material/Bronze
Bronze,thesauiri/material/Bronze
Colorado Yule Marble,thesauiri/material/Colorado Yule Marble
Bronze,thesauiri/material/Bronze
Oil on canvas,thesauiri/material/Oil on canvas
Ink on Paper,thesauiri/material/Ink on Paper
Welded steel,thesauiri/material/Welded steel
Bronze,thesauiri/material/Bronze
Bronze,thesauiri/material/Bronze
Watercolor on Paper,thesauiri/material/Watercolor on Paper
Linden Wood and Stain,thesauiri/material/Linden Wood and Stain
block print on paper,thesauiri/material/block print on paper
Block Print on Paper,thesauiri/material/Block Print on Paper
Block Print on Paper,thesauiri/material/Block Print on Paper
Block Print on Paper,thesauiri/material/Block Print on Paper
Block Print on Paper,thesauiri/material/Block Print on Paper
Block Print on Paper,thesauiri/material/Block Print on Paper
Block Print on Paper,thesauiri/material/Block Print on Paper
Block Print on Paper,thesauiri/material/Block Print on Paper
Block Print on Paper,thesauiri/material/Block Print on Paper
Block Print on Paper,thesauiri/material/Block Print on Paper
Block Print on Paper,thesauiri/material/Block Print on Paper
Block Print on Paper,thesauiri/material/Block Print on Paper
Block Print on Paper,thesauiri/material/Block Print on Paper
Block Print on Paper,thesauiri/material/Block Print on Paper
Block Print on Paper,thesauiri/material/Block Print on Paper
Block Print on Paper,thesauiri/material/Block Print on Paper
Block Print on Paper,thesauiri/material/Block Print on Paper
Bronze,thesauiri/material/Bronze
Oil on Canvas,thesauiri/material/Oil on Canvas
Oil on Canvas,thesauiri/material/Oil on Canvas
Oil on Canvas,thesauiri/material/Oil on Canvas
Oil on Linen,thesauiri/material/Oil on Linen
Acrylic on Board,thesauiri/material/Acrylic on Board
etching,thesauiri/material/etching
watercolor on paper,thesauiri/material/watercolor on paper
news engraving,thesauiri/material/news engraving
Polychrome,thesauiri/material/Polychrome
print on paper,thesauiri/material/print on paper
print on paper,thesauiri/material/print on paper
etching,thesauiri/material/etching
