81.G.2,object/id/81.G.2
87.46.1,object/id/87.46.1
88.108.3,object/id/88.108.3
88.108.9,object/id/88.108.9
88.108.10,object/id/88.108.10
88.108.11,object/id/88.108.11
88.108.21,object/id/88.108.21
88.108.22,object/id/88.108.22
88.108.27,object/id/88.108.27
88.108.47,object/id/88.108.47
88.108.63,object/id/88.108.63
89.54.1,object/id/89.54.1
89.223.1,object/id/89.223.1
90.139.1,object/id/90.139.1
90.142.3,object/id/90.142.3
90.242.1,object/id/90.242.1
91.41.1,object/id/91.41.1
91.41.2,object/id/91.41.2
91.176.1,object/id/91.176.1
91.183.2,object/id/91.183.2
91.221.49,object/id/91.221.49
91.228.2,object/id/91.228.2
92.6.1,object/id/92.6.1
92.126.1,object/id/92.126.1
92.147.1,object/id/92.147.1
93.99.4,object/id/93.99.4
93.187.3,object/id/93.187.3
93.200.1,object/id/93.200.1
93.225.27,object/id/93.225.27
93.225.27,object/id/93.225.27
93.225.27,object/id/93.225.27
96.40.1,object/id/96.40.1
97.88.1,object/id/97.88.1
99.1.1,object/id/99.1.1
151.G.1,object/id/151.G.1
151.G.6,object/id/151.G.6
153.L.7,object/id/153.L.7
309.L.6,object/id/309.L.6
309.L.6,object/id/309.L.6
491.G.2137,object/id/491.G.2137
491.G.2137,object/id/491.G.2137
496.G.57,object/id/496.G.57
535.G.489,object/id/535.G.489
535.G.627,object/id/535.G.627
609.G.717,object/id/609.G.717
757.G.1,object/id/757.G.1
757.G.2,object/id/757.G.2
757.G.2,object/id/757.G.2
811.G.2440,object/id/811.G.2440
811.G.2440,object/id/811.G.2440
811.G.2440,object/id/811.G.2440
2001.60.1,object/id/2001.60.1
2002.41.4,object/id/2002.41.4
2004.23.1,object/id/2004.23.1
2004.25.1,object/id/2004.25.1
2005.15.1,object/id/2005.15.1
2005.16.1,object/id/2005.16.1
2005.16.1,object/id/2005.16.1
2005.43.1,object/id/2005.43.1
2006.21.1,object/id/2006.21.1
2006.65.1,object/id/2006.65.1
2006.71.1,object/id/2006.71.1
2008.34.3,object/id/2008.34.3
2008.34.3,object/id/2008.34.3
2008.48.1,object/id/2008.48.1
2008.59.1,object/id/2008.59.1
2008.59.1,object/id/2008.59.1
2008.59.1,object/id/2008.59.1
2009.77.1,object/id/2009.77.1
2010.42.1,object/id/2010.42.1
2010.42.1,object/id/2010.42.1
2011.54.2,object/id/2011.54.2
2011.54.2,object/id/2011.54.2
2011.54.2,object/id/2011.54.2
2011.54.2,object/id/2011.54.2
2012.18.1,object/id/2012.18.1
2012.37.1,object/id/2012.37.1
2012.37.2,object/id/2012.37.2
2012.37.3,object/id/2012.37.3
2012.37.5,object/id/2012.37.5
2012.37.7,object/id/2012.37.7
2012.37.7,object/id/2012.37.7
2012.37.7,object/id/2012.37.7
2012.37.8,object/id/2012.37.8
2012.37.8,object/id/2012.37.8
2012.37.8,object/id/2012.37.8
2012.37.10,object/id/2012.37.10
2012.37.17,object/id/2012.37.17
2012.37.20,object/id/2012.37.20
2012.37.20,object/id/2012.37.20
2012.37.20,object/id/2012.37.20
2012.37.20,object/id/2012.37.20
2012.37.20,object/id/2012.37.20
2012.37.22,object/id/2012.37.22
2012.37.23,object/id/2012.37.23
2012.37.23,object/id/2012.37.23
2012.37.24,object/id/2012.37.24
2012.37.25,object/id/2012.37.25
2012.37.25,object/id/2012.37.25
2012.37.29,object/id/2012.37.29
2012.37.29,object/id/2012.37.29
2012.37.29,object/id/2012.37.29
2012.37.29,object/id/2012.37.29
2012.37.31,object/id/2012.37.31
2012.37.34,object/id/2012.37.34
2012.37.34,object/id/2012.37.34
2012.37.34,object/id/2012.37.34
2012.37.34,object/id/2012.37.34
2012.37.35,object/id/2012.37.35
2012.37.35,object/id/2012.37.35
2012.37.35,object/id/2012.37.35
2012.37.35,object/id/2012.37.35
2012.37.39,object/id/2012.37.39
2012.37.42,object/id/2012.37.42
2012.37.42,object/id/2012.37.42
2012.37.43,object/id/2012.37.43
2012.37.43,object/id/2012.37.43
2012.37.44,object/id/2012.37.44
2012.37.44,object/id/2012.37.44
2012.37.44,object/id/2012.37.44
2013.27.1,object/id/2013.27.1
2013.33.1,object/id/2013.33.1
2013.46.1,object/id/2013.46.1
2014.5.1,object/id/2014.5.1
2014.34.1,object/id/2014.34.1
2015.5.1,object/id/2015.5.1
2015.5.1,object/id/2015.5.1
2015.5.1,object/id/2015.5.1
2015.5.1,object/id/2015.5.1
2015.6.1,object/id/2015.6.1
2015.12.1,object/id/2015.12.1
2015.12.2,object/id/2015.12.2
2015.21.1,object/id/2015.21.1
3023.G.49,object/id/3023.G.49
4088.G.1,object/id/4088.G.1
4088.G.2,object/id/4088.G.2
4088.G.3,object/id/4088.G.3
4088.G.9,object/id/4088.G.9
