"40.759055|-73.98471"
"40.758678|-73.983342"
"40.755597|-73.987999"
"40.761014|-73.985052"
"40.756747|-73.988659"
"40.757482|-73.988309"
"40.760537|-73.984644"
"40.759581|-73.984366"
"40.76029|-73.987572"
"40.756022|-73.984808"
"40.760359|-73.989286"
"40.757026|-73.983291"
"40.757114|-73.983494"
"40.756461|-73.983952"
"40.756491|-73.983977"
"40.757163|-73.983613"
"40.757811|-73.98323"
"40.757218|-73.983786"
"40.757814|-73.98328"
"40.758461|-73.982869"
"40.761736|-73.980883"
"40.760315|-73.987554"
"40.761127|-73.98694"
"40.758663|-73.988738"
"40.758706|-73.989276"
"40.761138|-73.985344"
"40.761439|-73.982168"
"40.757811|-73.98323"
"40.761668|-73.984651"
"40.762005|-73.982612"
"40.763059|-73.985557"
"40.762674|-73.982095"
"40.759727|-73.985886"
"40.758267|-73.985468"
