"+83 973-757-831",""
"787","787"
"507","507"
"+72 001-050-856","050"
"+95 310-537-401","537"
"+6 775-969-238","969"
"+174 594-539-946","539"
"461","461"
"+10 538-347-401","347"
"+60 971-986-103","986"
"276",""
"+25 998-898-180","898"
"+151 862-946-541",""
"041",""
"+94 462-008-482",""
"+82 675-366-472","366"
"433",""
"+163 039-436-166",""
"083","083"
"245","245"
"782",""
"369",""
"+138 885-618-512","618"
"+104 158-671-355",""
"+188 280-087-526","087"
"571",""
"960",""
"982","982"
"092",""
"601","601"
"+129 425-765-844",""
"+94 856-734-046",""
"622",""
"707",""
"+23 448-213-807",""
"+42 634-077-089",""
"287","287"
"+29 773-545-520","545"
"097",""
"736",""
"457","457"
"250",""
"+5 528-317-854",""
"380",""
"+40 122-224-247","224"
"820",""
"938",""
"296",""
"+20 541-401-396",""
"+163 546-119-476",""
"666",""
"+14 673-759-017",""
"+161 086-020-168","020"
"+2 455-126-377","126"
"+195 488-831-768",""
"718","718"
"716",""
"+43 730-685-847",""
"+21 679-740-834","740"
"+98 717-997-323",""
"462",""
"+147 864-005-968",""
"757",""
"858","858"
"+158 344-541-946",""
"+56 242-901-234","901"
"953","953"
"878",""
"582",""
"+138 117-484-671",""
"+50 012-148-873",""
"851","851"
"132",""
"+33 547-051-264",""
"981","981"
"+115 101-728-328","728"
"746","746"
