"University of Pennsylvania,Phialdelphia, PA, USA","Phialdelphia, PA, USA"
"Ithaca, NY, USA","Ithaca, NY, USA"
"Penn,Philadelphia, PA, USA","Philadelphia, PA, USA"
"Ann Arbor, MI, USA","Ann Arbor, NY, USA"
"Berkeley, CA, USA","Berkeley, NY, USA"
"Cambridge, MA, USA","Cambridge, NY, USA"
"Yale University,New Haven, CT, USA","New Haven, NY, USA"
"Columbia University,New York, NY, USA","New York, NY, USA"
"NYU,New York, New York, USA","New York, NY, USA"
"UC Berkeley,Berkeley, CA","UC Berkeley, NY, CA"
"Urbana, IL, USA","Urbana, NY, USA"
"Harvard University,Cambridge, MA, USA","Cambridge, MA, USA"
"University of Connecticut,Storrs, CT, USA","Storrs, CT, USA"
"New Haven University,New Haven, CT, USA","New Haven, CT, USA"
"Santa Barbara, CA, USA","Santa Barbara, NY, USA"
