"5/19/80","5/19/80"
"4/6/84","4/6/84"
"5/5/85","5/5/85"
"11/25/80","11/25/80"
"10/20/87","10/20/87"
"11/25/77","11/25/77"
"4/11/85","4/11/85"
"9/25/84","9/25/84"
"11/29/84","11/29/84"
"3/17/82","3/17/82"
"12/22/82","12/22/82"
"6/9/82","6/9/82"
"11/24/84","11/24/84"
"3/14/77","3/14/77"
"10/19/81","10/19/81"
"6/20/87","6/20/87"
"3/16/86","3/16/86"
"12/2/77","12/2/77"
"3/20/80","3/20/80"
"1/6/87","1/6/87"
"9/29/81","9/29/81"
"12/26/81","12/26/81"
"5/23/86","5/23/86"
"2/1/73","2/1/73"
"10/20/81","10/20/81"
"4/2/80","4/2/80"
"2/13/79","2/13/79"
"3/30/80","3/30/80"
"4/30/79","4/30/79"
"6/21/87","6/21/87"
"12/29/80","12/29/80"
"11/3/76","11/3/76"
"1/17/73","1/17/73"
"3/1/89","3/1/89"
"3/6/86","3/6/86"
"7/13/85","7/13/85"
"6/1/88","6/1/88"
"1/17/88","1/17/88"
"2/22/88","2/22/88"
"5/11/89","5/11/89"
"9/28/86","9/28/86"
"11/21/81","11/21/81"
"1/16/88","1/16/88"
"5/15/79","5/15/79"
"5/29/83","5/29/83"
"7/21/79","7/21/79"
"6/16/86","6/16/86"
"11/2/80","11/2/80"
"2/16/86","2/16/86"
"11/19/84","11/19/84"
"7/23/84","7/23/84"
"10/11/82","10/11/82"
"2/14/87","2/14/87"
"1/8/81","1/8/81"
"1/24/87","1/24/87"
"5/19/79","5/19/79"
"11/28/85","11/28/85"
"4/17/78","4/17/78"
"10/17/76","10/17/76"
"3/21/89","3/21/89"
"5/18/80","5/18/80"
"6/8/84","6/8/84"
"1/1/82","1/1/82"
"5/14/82","5/14/82"
"12/14/74","12/14/74"
"10/11/85","10/11/85"
"5/23/85","5/23/85"
"4/7/87","4/7/87"
"3/25/83","3/25/83"
"12/26/86","12/26/86"
"2/14/83","2/14/83"
"9/11/79","9/11/79"
"11/10/79","11/10/79"
"8/17/77","8/17/77"
"3/7/82","3/7/82"
"4/7/83","4/7/83"
"7/11/86","7/11/86"
"8/12/81","8/12/81"
"7/27/79","7/27/79"
"12/5/85","12/5/85"
"8/17/77","8/17/77"
"5/15/81","5/15/81"
"9/10/83","9/10/83"
"6/13/80","6/13/80"
"3/28/85","3/28/85"
"8/11/80","8/11/80"
"7/15/81","7/15/81"
"5/11/86","5/11/86"
"9/28/84","9/28/84"
"3/14/79","3/14/79"
"7/26/85","7/26/85"
"12/30/81","12/30/81"
"2/16/78","2/16/78"
"12/20/80","12/20/80"
"7/31/81","7/31/81"
"4/12/81","4/12/81"
"2/17/85","2/17/85"
"4/19/78","4/19/78"
"2/14/88","2/14/88"
"3/9/75","3/9/75"
"12/10/87","12/10/87"
"6/24/87","6/24/87"
"2/5/84","2/5/84"
"7/14/79","7/14/79"
"3/23/78","3/23/78"
"6/8/84","6/8/84"
"2/12/88","2/12/88"
"6/2/88","6/2/88"
"7/5/83","7/5/83"
"11/7/73","11/7/73"
"6/12/79","6/12/79"
"1/2/81","1/2/81"
"7/30/83","7/30/83"
"2/22/87","2/22/87"
"6/20/89","6/20/89"
"8/29/82","8/29/82"
"9/6/80","9/6/80"
"4/16/85","4/16/85"
"8/1/76","8/1/76"
"4/18/80","4/18/80"
"9/2/80","9/2/80"
"1/8/82","1/8/82"
"11/22/82","11/22/82"
"10/28/84","10/28/84"
"10/10/88","10/10/88"
"7/15/81","7/15/81"
"11/15/82","11/15/82"
"11/4/84","11/4/84"
"5/2/86","5/2/86"
"4/12/90","4/12/90"
"4/8/84","4/8/84"
"12/17/83","12/17/83"
"3/25/87","3/25/87"
"6/1/86","6/1/86"
"6/8/82","6/8/82"
"1/20/88","1/20/88"
"12/25/88","12/25/88"
"11/20/83","11/20/83"
"4/26/73","4/26/73"
"7/29/84","7/29/84"
"4/27/84","4/27/84"
"11/3/83","11/3/83"
"3/14/77","3/14/77"
"10/6/89","10/6/89"
"2/25/81","2/25/81"
"5/9/82","5/9/82"
"1/27/76","1/27/76"
"7/10/85","7/10/85"
"3/6/89","3/6/89"
"4/23/77","4/23/77"
"10/3/83","10/3/83"
"1/8/80","1/8/80"
"1/29/82","1/29/82"
"1/24/89","1/24/89"
"7/2/88","7/2/88"
"1/4/85","1/4/85"
"3/30/83","3/30/83"
"4/29/79","4/29/79"
"6/28/83","6/28/83"
"7/25/80","7/25/80"
"2/14/86","2/14/86"
"5/30/74","5/30/74"
"6/4/81","6/4/81"
"3/19/79","3/19/79"
