"Frishmuth, Harriet Whitney","Harriet Whitney Frishmuth"
"Archipenko, Alexander","Alexander Archipenko"
"Benton, Thomas Hart","Thomas Hart Benton"
"Hopper, Edward","Edward Hopper"
"Frieseke, Frederick Carl","Frederick Carl Frieseke"
"Groll, Theodor","Theodor Groll"
"Hugh M. Poe","Hugh M. Poe"
"Twachtman, John Henry","John Henry Twachtman"
"John Sharman","John Sharman"
"Daniel Garber","Daniel Garber"
"Daniel Garber","Daniel Garber"
"Kroll, Leon","Leon Kroll"
"Robert Henri","Robert Henri"
"Frieseke, Frederick Carl","Frederick Carl Frieseke"
"Bishop, Isabel","Isabel Bishop"
"Hassam, Childe","Childe Hassam"
"Beckwith, James Carroll","James Carroll Beckwith"
"John W. Hardrick","John W. Hardrick"
"Edmund Brucker","Edmund Brucker"
"Weir, Julian Alden","Julian Alden Weir"
"Sloan, John","John Sloan"
"Beaux, Cecilia","Cecilia Beaux"
"Remington, Frederic","Frederic Remington"
"Vonnoh, Robert William","Robert William Vonnoh"
"Davies, Arthur Bowen","Arthur Bowen Davies"
"Kent, Rockwell","Rockwell Kent"
"Brook, Alexander","Alexander Brook"
"Tarbell, Edmund Charles","Edmund Charles Tarbell"
"Rockwell, Norman","Norman Rockwell"
"Delaney, Joseph","Joseph Delaney"
"William H. Johnson","William H. Johnson"
"Paxton, William McGregor","William McGregor Paxton"
"Augusta Savage","Augusta Savage"
"Pippin, Horace","Horace Pippin"
"Ritman, Louis","Louis Ritman"
"Benson, Frank Weston","Frank Weston Benson"
"Scott, William Edouard","William Edouard Scott"
"Hartley, Marsden","Marsden Hartley"
"MacMonnies, Frederick William","Frederick William MacMonnies"
"Blakelock, Ralph Albert","Ralph Albert Blakelock"
"Adams, John Ottis","John Ottis Adams"
"Inman, Henry","Henry Inman"
"Saint-Gaudens, Augustus","Saint-Augustus Gaudens"
"Lambdin, George Cochran","George Cochran Lambdin"
"Saint-Gaudens, Augustus","Saint-Augustus Gaudens"
"Blakelock, Ralph Albert","Ralph Albert Blakelock"
"Higgins, Victor","Victor Higgins"
"William Merritt Chase","William Merritt Chase"
"Burnham, Thomas Mickell","Thomas Mickell Burnham"
"Whittredge, Worthington","Worthington Whittredge"
"Roszak, Theodore","Theodore Roszak"
"Bricher, Alfred Thompson","Alfred Thompson Bricher"
"Manship, Paul","Paul Manship"
"West, Benjamin","Benjamin West"
"Hunt, William Morris","William Morris Hunt"
"John Singer Sargent","John Singer Sargent"
"Ruth P. Bobbs","Ruth P. Bobbs"
"Jacob Atkinson","Jacob Atkinson"
"Dabo, Leon","Leon Dabo"
"Duveneck, Frank","Frank Duveneck"
"Morse, Samuel Finley Breese","Samuel Finley Breese Morse"
"O'Keeffe, Georgia","O'Georgia Keeffe"
"O'Keeffe, Georgia","O'Georgia Keeffe"
"Joshua Shaw","Joshua Shaw"
"Rogers, Randolph","Randolph Rogers"
"William Merritt Chase","William Merritt Chase"
"Duncanson, Robert Scott","Robert Scott Duncanson"
"Mary S. Blumenschein","Mary S. Blumenschein"
"Lachaise, Gaston","Gaston Lachaise"
"Inness, George","George Inness"
"William Merritt Chase","William Merritt Chase"
"William Merritt Chase","William Merritt Chase"
"William Merritt Chase","William Merritt Chase"
"Moran, Edward","Edward Moran"
"Stuart, Gilbert","Gilbert Stuart"
"Inness, George","George Inness"
"Blumenschein, Ernest Leonard","Ernest Leonard Blumenschein"
"John J. Hegler","John J. Hegler"
"Church, Frederic Edwin","Frederic Edwin Church"
"Tryon, Dwight William","Dwight William Tryon"
"Marin, John","John Marin"
"Bradford, William","William Bradford"
"Thayer, Abbott Handerson","Abbott Handerson Thayer"
"David K. Rubins","David K. Rubins"
"T.C. Steele","T.C. Steele"
"Brown, Bolton Coit","Bolton Coit Brown"
"Thayer, Abbott Handerson","Abbott Handerson Thayer"
"Hartley, Marsden","Marsden Hartley"
"Stuart, Gilbert","Gilbert Stuart"
"Cropsey, Jasper Francis","Jasper Francis Cropsey"
"Kuhn, Walt","Walt Kuhn"
"John Bradley Storrs","John Bradley Storrs"
"Durand, Asher Brown","Asher Brown Durand"
"Guy, Seymour Joseph","Seymour Joseph Guy"
"Homer, Winslow","Winslow Homer"
"O'Keeffe, Georgia","O'Georgia Keeffe"
"Bearden, Romare Howard","Romare Howard Bearden"
"Haberle, John","John Haberle"
"Peale, Charles Willson","Charles Willson Peale"
"Dove, Arthur Garfield","Arthur Garfield Dove"
"Whittredge, Worthington","Worthington Whittredge"
"Pezzati, Pietro","Pietro Pezzati"
"Winter, George","George Winter"
"Konti, Isidore","Isidore Konti"
"David K. Rubins","David K. Rubins"
"Willard D. Paddock","Willard D. Paddock"
"Ritman, Louis","Louis Ritman"
"Lawson, Ernest","Ernest Lawson"
"Prendergast, Maurice Brazil","Maurice Brazil Prendergast"
"Cecil F. Head","Cecil F. Head"
"Luks, George Benjamin","George Benjamin Luks"
"Bellows, George Wesley","George Wesley Bellows"
"William Merritt Chase","William Merritt Chase"
"Higgins, Victor","Victor Higgins"
"Reid, Robert","Robert Reid"
"Cox, Jacob","Jacob Cox"
"Hitchcock, George","George Hitchcock"
"Cox, Jacob","Jacob Cox"
"Bierstadt, Albert","Albert Bierstadt"
"Beard, William Holbrook","William Holbrook Beard"
"Whittredge, Worthington","Worthington Whittredge"
"T.C. Steele","T.C. Steele"
"Melchers, Gari","Gari Melchers"
"John Singer Sargent","John Singer Sargent"
"Harrison, Birge","Birge Harrison"
"Eakins, Thomas","Thomas Eakins"
"Adams, John Ottis","John Ottis Adams"
"Forsyth, William J.","William J. Forsyth"
"Currier, Joseph Frank","Joseph Frank Currier"
"Morris, George Lovett Kingsland","George Lovett Kingsland Morris"
"Scudder, Janet","Janet Scudder"
"Forsyth, William J.","William J. Forsyth"
"Pezzati, Pietro","Pietro Pezzati"
"Hart, William M.","William M. Hart"
"Scudder, Janet","Janet Scudder"
"Riess, Wilhelm J.","Wilhelm J. Riess"
"Saint-Gaudens, Augustus","Saint-Augustus Gaudens"
"Rush, Olive","Olive Rush"
"Howell, Felicie","Felicie Howell"
"Mulhaupt, Frederick John","Frederick John Mulhaupt"
"David K. Rubins","David K. Rubins"
"Peckham, Lewis","Lewis Peckham"
"Peckham, Lewis","Lewis Peckham"
"Forrest F. Stark","Forrest F. Stark"
"Duveneck, Frank","Frank Duveneck"
"Elmer H. Daniels","Elmer H. Daniels"
"David K. Rubins","David K. Rubins"
"James F. Gookins","James F. Gookins"
"Wheeler, Clifton A.","Clifton A. Wheeler"
