"87.87.7","object/preferred_id/87.87.7"
"88.27.7","object/preferred_id/88.27.7"
"88.108.1","object/preferred_id/88.108.1"
"88.108.4","object/preferred_id/88.108.4"
"88.108.7","object/preferred_id/88.108.7"
"88.108.9","object/preferred_id/88.108.9"
"88.108.22","object/preferred_id/88.108.22"
"88.108.27","object/preferred_id/88.108.27"
"88.108.33","object/preferred_id/88.108.33"
"88.108.47","object/preferred_id/88.108.47"
"88.108.63","object/preferred_id/88.108.63"
"88.368.1","object/preferred_id/88.368.1"
"90.139.1","object/preferred_id/90.139.1"
"90.142.3","object/preferred_id/90.142.3"
"90.183.4.2","object/preferred_id/90.183.4.2"
"90.232.3","object/preferred_id/90.232.3"
"90.242.1","object/preferred_id/90.242.1"
"91.42.1","object/preferred_id/91.42.1"
"91.183.2","object/preferred_id/91.183.2"
"92.6.1","object/preferred_id/92.6.1"
"92.147.1","object/preferred_id/92.147.1"
"92.197.1","object/preferred_id/92.197.1"
"92.217.5","object/preferred_id/92.217.5"
"93.99.4","object/preferred_id/93.99.4"
"93.120.1","object/preferred_id/93.120.1"
"93.173.1","object/preferred_id/93.173.1"
"93.177.5","object/preferred_id/93.177.5"
"93.187.1","object/preferred_id/93.187.1"
"93.187.3","object/preferred_id/93.187.3"
"93.187.4","object/preferred_id/93.187.4"
"93.200.1","object/preferred_id/93.200.1"
"96.38.1","object/preferred_id/96.38.1"
"96.40.1","object/preferred_id/96.40.1"
"97.70.1","object/preferred_id/97.70.1"
"98.56.1","object/preferred_id/98.56.1"
"99.1.1","object/preferred_id/99.1.1"
"99.6.1","object/preferred_id/99.6.1"
"153.L.7","object/preferred_id/153.L.7"
"491.G.955","object/preferred_id/491.G.955"
"609.G.717","object/preferred_id/609.G.717"
"653.G.1","object/preferred_id/653.G.1"
"757.G.1","object/preferred_id/757.G.1"
"2000.4.1","object/preferred_id/2000.4.1"
"2001.60.1","object/preferred_id/2001.60.1"
"2002.3.1","object/preferred_id/2002.3.1"
"2002.41.4","object/preferred_id/2002.41.4"
"2002.66.1","object/preferred_id/2002.66.1"
"2003.106.1","object/preferred_id/2003.106.1"
"2004.89.1","object/preferred_id/2004.89.1"
"2005.15.1","object/preferred_id/2005.15.1"
"2005.16.1","object/preferred_id/2005.16.1"
"2005.22.1","object/preferred_id/2005.22.1"
"2006.15.1","object/preferred_id/2006.15.1"
"2006.65.1","object/preferred_id/2006.65.1"
"2006.70.1","object/preferred_id/2006.70.1"
"2006.70.4","object/preferred_id/2006.70.4"
"2006.70.5","object/preferred_id/2006.70.5"
"2007.113.1","object/preferred_id/2007.113.1"
"2008.11.1","object/preferred_id/2008.11.1"
"2008.34.1","object/preferred_id/2008.34.1"
"2008.34.2","object/preferred_id/2008.34.2"
"2008.34.3","object/preferred_id/2008.34.3"
"2008.59.1","object/preferred_id/2008.59.1"
"2009.77.1","object/preferred_id/2009.77.1"
"2010.42.1","object/preferred_id/2010.42.1"
"2011.45.1","object/preferred_id/2011.45.1"
"2012.18.1","object/preferred_id/2012.18.1"
"2012.37.1","object/preferred_id/2012.37.1"
"2012.37.2","object/preferred_id/2012.37.2"
"2012.37.4","object/preferred_id/2012.37.4"
"2012.37.6","object/preferred_id/2012.37.6"
"2012.37.8","object/preferred_id/2012.37.8"
"2012.37.10","object/preferred_id/2012.37.10"
"2012.37.12","object/preferred_id/2012.37.12"
"2012.37.15","object/preferred_id/2012.37.15"
"2012.37.20","object/preferred_id/2012.37.20"
"2012.37.22","object/preferred_id/2012.37.22"
"2012.37.23","object/preferred_id/2012.37.23"
"2012.37.24","object/preferred_id/2012.37.24"
"2012.37.25","object/preferred_id/2012.37.25"
"2012.37.26","object/preferred_id/2012.37.26"
"2012.37.29","object/preferred_id/2012.37.29"
"2012.37.39","object/preferred_id/2012.37.39"
"2012.37.46","object/preferred_id/2012.37.46"
"2014.10.1","object/preferred_id/2014.10.1"
"2014.22.1","object/preferred_id/2014.22.1"
"2014.34.1","object/preferred_id/2014.34.1"
"2015.5.1","object/preferred_id/2015.5.1"
"2015.6.1","object/preferred_id/2015.6.1"
"2015.12.1","object/preferred_id/2015.12.1"
"2015.12.2","object/preferred_id/2015.12.2"
"2015.25.1","object/preferred_id/2015.25.1"
"2016.10.2","object/preferred_id/2016.10.2"
"4088.G.2","object/preferred_id/4088.G.2"
"4088.G.3","object/preferred_id/4088.G.3"
"4088.G.4","object/preferred_id/4088.G.4"
"4088.G.5","object/preferred_id/4088.G.5"
