"1994.91.229","object/id/1994_91_229"
"1995.47A-N","object/id/1995_47A-N"
"1996.63.3","object/id/1996_63_3"
"1996.91.13","object/id/1996_91_13"
"1996.91.16","object/id/1996_91_16"
"1997.108.9","object/id/1997_108_9"
"1997.124.60","object/id/1997_124_60"
"1997.124.164","object/id/1997_124_164"
"1970.174","object/id/1970_174"
"1970.211A-B","object/id/1970_211A-B"
"1970.355.110","object/id/1970_355_110"
"1971.97","object/id/1971_97"
"1971.281","object/id/1971_281"
"1971.291.50","object/id/1971_291_50"
"1972.41","object/id/1972_41"
"1972.74.37","object/id/1972_74_37"
"1972.167.91","object/id/1972_167_91"
"1974.28.73","object/id/1974_28_73"
"1974.69.2","object/id/1974_69_2"
"1974.69.6","object/id/1974_69_6"
"1991.112.37","object/id/1991_112_37"
"1991.157.3","object/id/1991_157_3"
"1992.37.7","object/id/1992_37_7"
"1992.43.6","object/id/1992_43_6"
"1992.56","object/id/1992_56"
"1992.113.4B","object/id/1992_113_4B"
"1994.20.6","object/id/1994_20_6"
"1994.27","object/id/1994_27"
"1994.42.10","object/id/1994_42_10"
"1994.91.156","object/id/1994_91_156"
"1994.91.175","object/id/1994_91_175"
"1995.54.1.1","object/id/1995_54_1_1"
"1995.61","object/id/1995_61"
"1997.105.12","object/id/1997_105_12"
"1997.105.24","object/id/1997_105_24"
"1997.124.38R-V","object/id/1997_124_38R-V"
"1970.184","object/id/1970_184"
"1970.355.15","object/id/1970_355_15"
"1971.291.1","object/id/1971_291_1"
"1972.24.2","object/id/1972_24_2"
"1972.74.24","object/id/1972_74_24"
"1973.41","object/id/1973_41"
"1974.99.1","object/id/1974_99_1"
"1975.22","object/id/1975_22"
"1975.71.2","object/id/1975_71_2"
"1991.185.2","object/id/1991_185_2"
"1992.11.10","object/id/1992_11_10"
"1993.37","object/id/1993_37"
"1993.45","object/id/1993_45"
"1994.23.4","object/id/1994_23_4"
"1994.81","object/id/1994_81"
"1935.13.24","object/id/1935_13_24"
"1935.13.30","object/id/1935_13_30"
"1935.13.191","object/id/1935_13_191"
"1935.13.528","object/id/1935_13_528"
"1940.5.1","object/id/1940_5_1"
"1942.2.2","object/id/1942_2_2"
"1944.7.3","object/id/1944_7_3"
"XX108A","object/id/XX108A"
"1995.47A-N","object/id/1995_47A-N"
"1995.50.19","object/id/1995_50_19"
"1996.91.14","object/id/1996_91_14"
"1996.91.52","object/id/1996_91_52"
"1997.108.11","object/id/1997_108_11"
"1997.109.19","object/id/1997_109_19"
"1998.31.3","object/id/1998_31_3"
"1970.355.114","object/id/1970_355_114"
"1971.446.177","object/id/1971_446_177"
"1972.74.45","object/id/1972_74_45"
"1972.167.93","object/id/1972_167_93"
"1973.36","object/id/1973_36"
"1973.5","object/id/1973_5"
"1973.167.3","object/id/1973_167_3"
"1974.69.3","object/id/1974_69_3"
"1974.112","object/id/1974_112"
"1991.112.30","object/id/1991_112_30"
"1991.112.35","object/id/1991_112_35"
"1991.148","object/id/1991_148"
"1991.205.9","object/id/1991_205_9"
"1992.21","object/id/1992_21"
"1992.37.4","object/id/1992_37_4"
"1992.6","object/id/1992_6"
"1992.72.13","object/id/1992_72_13"
"1994.22.1","object/id/1994_22_1"
"1994.29","object/id/1994_29"
"1994.52","object/id/1994_52"
"1994.107A-C","object/id/1994_107A-C"
"1995.47A-N","object/id/1995_47A-N"
"1995.54.2","object/id/1995_54_2"
"1996.91.17","object/id/1996_91_17"
"1996.91.34","object/id/1996_91_34"
"1997.19A-B","object/id/1997_19A-B"
"1997.108.8","object/id/1997_108_8"
"1997.124.17","object/id/1997_124_17"
"1997.124.41","object/id/1997_124_41"
"1997.124.185","object/id/1997_124_185"
"1970.355.344","object/id/1970_355_344"
"1971.61","object/id/1971_61"
"1971.155","object/id/1971_155"
"1971.288","object/id/1971_288"
"1971.447.2","object/id/1971_447_2"
"1972.12","object/id/1972_12"
"1972.52","object/id/1972_52"
"1972.74.1","object/id/1972_74_1"
"1972.74.33","object/id/1972_74_33"
"1973.141.2","object/id/1973_141_2"
"1973.160.8","object/id/1973_160_8"
"1991.112.32","object/id/1991_112_32"
"1991.205.2","object/id/1991_205_2"
"1992.43.10","object/id/1992_43_10"
"1992.70.2","object/id/1992_70_2"
"1992.75","object/id/1992_75"
"1993.13.1","object/id/1993_13_1"
"1993.31.1A-I","object/id/1993_31_1A-I"
"1993.77.1","object/id/1993_77_1"
"1994.91.223","object/id/1994_91_223"
"1995.47A-N","object/id/1995_47A-N"
"1995.50.50","object/id/1995_50_50"
"1995.54.1.5","object/id/1995_54_1_5"
"1996.91.21","object/id/1996_91_21"
