"38-12 ASTORIA BOULEVARD ASTORIA NY 11103","11103"
"2304 SEDGWICK AVENUE STORE 1 BRONX NY 10468","10468"
"47 - 10   32 PLACE SUITE 204 LIC NY 11101","11101"
"88-19  101 AVENUE OZONE PARK NY 11416","11416"
"1104 GARRISON AVENUE BRONX NY 10474","10474"
"7310   88 STREET GLENDALE NY 11385","11385"
"335 BOND STREET BROOKLYN NY 11231","11231"
"2079 EAST   16 STREET BROOKLYN NY 11229","11229"
"43-23   35 STREET LIC NY 11101","11101"
"2104 AVENUE X BROOKLYN NY 11235","11235"
"27-10   49 AVENUE LIC NY 11101","11101"
"32-72 GALE AVENUE LIC NY 11101","11101"
"59-01   37 AVENUE WOODSIDE NY 11377","11377"
"25-20   39 AVENUE LONGISLANDCITY NY 11101","11101"
"41-24   38 STREET LIC NY 11101","11101"
"32-72 GALE AVENUE LIC NY 11101","11101"
"23-03 ASTORIA BOULEVARD ASTORIA NY 11102","11102"
"1440   39 STREET BROOKLYN NY 11218","11218"
"43-23   35 STREET LIC NY 11101","11101"
"712 BROADWAY 2ND FLOOR BROOKLYN NY 11206","11206"
"636 WEST   28 STREET NEW YORK NY 10001","10001"
"66-14 MYRTLE AVENUE QUEENS NY 11385","11385"
"2104 AVENUE X BROOKLYN NY 11235","11235"
"1963 SOUTHERN BOULEVARD BRONX NY 10460","10460"
"147-15   45 AVENUE FLUSHING NY 11355","11355"
"636 WEST   28 STREET NEW YORK NY 10001","10001"
"1131 CONEY ISLAND AVENUE BROOKLYN NY 11230","11230"
"32-72 GALE AVENUE LIC NY 11101","11101"
"72 WEST  106 STREET NEW YORK NY 10025","10025"
"636 WEST   28 STREET NEW YORK NY 10001","10001"
"325 EAST   88 STREET NEW YORK NY 10128","10128"
"42-06 BROADWAY ASTORIA NY 11103","11103"
"1161 SOUTHERN BOULEVARD BRONX NY 10459","10459"
"88-19  101 AVENUE OZONE PARK NY 11416","11416"
"1748 EAST TREMONT AVENUE BRONX NY 10460","10460"
"2104 AVENUE X BROOKLYN NY 11235","11235"
"636 WEST   28 STREET NEW YORK NY 10001","10001"
"43 - 23   35 STREET LIC NY 11101","11101"
"277 EAST  165 STREET BRONX NY 10456","10456"
"2079 EAST   16 STREET BROOKLYN NY 11229","11229"
"1440   39 STREET BROOKLYN NY 11218","11218"
"335 BOND STREET BROOKLYN NY 11231","11231"
"36-09  164 STREET FLUSHING NY 11358","11358"
"30-50 WHITESTONE EXPRESSWAY 101A FLUSHING NY 11357","11357"
"636 WEST   28 STREET NEW YORK NY 10001","10001"
"169 BAY   17 STREET BROOKLYN NY 11214","11214"
"199 AUDUBON AVENUE NEW YORK NY 10033","10033"
"636 WEST   28 STREET NEW YORK NY 10001","10001"
"277 EAST  165 STREET BRONX NY 10456","10456"
"22-11   38 AVENUE LIC NY 11101","11101"
"303    5 AVENUE STE 712/13 NEW YORK NY 10016","10016"
"115-13  JAMAICA AVENUE RICHMOND HILL NY 11418","11418"
"169 BAY   17 STREET BROOKLYN NY 11214","11214"
"34-39   31 STREET ASTORIA NY 11106","11106"
"1440   39 STREET BROOKLYN NY 11218","11218"
"628 MYRTLE AVENUE BROOKLYN NY 11205","11205"
"50-21   49 STREET WOODSIDE NY 11377","11377"
"32-72 GALE AVENUE LIC NY 11101","11101"
"405   51 STREET BROOKLYN NY 11220","11220"
"32-72 GALE AVENUE LIC NY 11101","11101"
"1440   39 STREET BROOKLYN NY 11218","11218"
"52-29   35 STREET LIC NY 11101","11101"
"32-72 GALE AVENUE LIC NY 11101","11101"
"36-36   33 STREET SUITE 308 LIC NY 11106","11106"
"38-33B   29 STREET LIC NY 11101","11101"
"1104 GARRISON AVENUE BRONX NY 10474","10474"
"31-00   47 AVENUE SUITE # 4123A LIC NY 11101","11101"
"47-01 VERNON BOULEVARD LIC NY 11101","11101"
"636 WEST   28 STREET NEW YORK NY 10001","10001"
"30-50 WHITESTONE EXPRESSWAY 101A FLUSHING NY 11357","11357"
"1518 BERGEN STREET BROOKLYN NY 11213","11213"
"5 EAST BROADWAY 4TH FLR NEW YORK NY 10038","10038"
"38 LINDEN AVENUE HEMPSTEAD NY 11550","11550"
"87-38  148 STREET JAMAICA NY 11435","11435"
"25-20   39 AVENUE LONGISLANDCITY NY 11101","11101"
"335 BOND STREET BROOKLYN NY 11231","11231"
"232 METROPOLITAN AVENUE BROOKLYN NY 11211","11211"
"86-11 LEFFERTS BOULEVARD SUITE 2A RICHMOND HILL NY 11418","11418"
"1025 ATLANTIC AVENUE 1 FLOOR BROOKLYN NY 11238","11238"
"865 EAST  138 STREET BRONX NY 10454","10454"
"1104 GARRISON AVENUE BRONX NY 10474","10474"
"2642 BROADWAY 3 FL NEW YORK NY 10025","10025"
"636 WEST   28 STREET NEW YORK NY 10001","10001"
"650 SOUNDVIEW AVENUE BRONX NY 10473","10473"
"45-22  162 STREET 2ND FLOOR FLUSHING NY 11358","11358"
"376 AUDUBON AVENUE NEW YORK NY 10033","10033"
"10-02   38 AVENUE LIC NY 11101","11101"
"636 WEST   28 STREET NEW YORK NY 10001","10001"
"775   60 STREET BROOKLYN NY 11220","11220"
"43-23   35 STREET LIC NY 11101","11101"
"47 LUDLOW STREET NEW YORK NY 10002","10002"
"27-10   49 AVENUE LIC NY 11101","11101"
"636 WEST   28 STREET NEW YORK NY 10001","10001"
"1440   39 STREET BROOKLYN NY 11218","11218"
"335 BOND STREET BROOKLYN NY 11231","11231"
"335 BOND STREET BROOKLYN NY 11231","11231"
"712    3 AVENUE BROOKLYN NY 11232","11232"
"372 WILSON AVENUE BROOKLYN NY 11221","11221"
"59-01   37 AVENUE WOODSIDE NY 11377","11377"
"169 BAY   17 STREET BROOKLYN NY 11214","11214"
"636 WEST   28 STREET NEW YORK NY 10001","10001"
"1440   39 STREET BROOKLYN NY 11218","11218"
"36-36   33 STREET SUITE 308 LIC NY 11106","11106"
"275   20 STREET BROOKLYN NY 11215","11215"
"171    5 AVENUE BROOKLYN NY 11217","11217"
"335 BOND STREET BROOKLYN NY 11231","11231"
"35-58   12 STREET LIC NY 11106","11106"
"712    3 AVENUE BROOKLYN NY 11232","11232"
"32-72 GALE AVENUE LIC NY 11101","11101"
"1072 BROADWAY BROOKLYN NY 11221","11221"
"636 WEST   28 STREET NEW YORK NY 10001","10001"
"636 WEST   28 STREET NY NY 10001","10001"
"636 WEST   28 STREET NEW YORK NY 10001","10001"
"775   60 STREET BROOKLYN NY 11220","11220"
"1440   39 STREET BROOKLYN NY 11218","11218"
"30-50 WHITESTONE EXPRESSWAY 101A FLUSHING NY 11357","11357"
"636 WEST   28 STREET NEW YORK NY 10001","10001"
"38-12 ASTORIA BOULEVARD ASTORIA NY 11103","11103"
"2104 AVENUE X BROOKLYN NY 11235","11235"
"560 SOUTHERN BOULEVARD BRONX NY 10455","10455"
"52-29   35 STREET LIC NY 11101","11101"
"75-19 PARSONS BOULEVARD FRESH MEADOWS NY 11366","11366"
"712    3 AVENUE BROOKLYN NY 11232","11232"
"47-01 VERNON BOULEVARD LIC NY 11101","11101"
"1440   39 STREET BROOKLYN NY 11218","11218"
"25-20   39 AVENUE LONGISLANDCITY NY 11101","11101"
