"Albania 23 20 1","Albania"
"Argentina 35 35 2","Argentina"
"Belgium 33.99 33.99 8","Belgium"
"Australia 30 30 4","Australia"
"Austria 25 25 5","Austria"
"Barbados 30 25 7","Barbados"
"Bolivia 25 25 9","Bolivia"
"Brazil 34 34 11","Brazil"
"Bulgaria 15 15 12","Bulgaria"
"Cayman Islands 0 0 14","Cayman Islands"
"Chile 17 17 15","Chile"
"China 33 33 16","China"
"Colombia","Colombia"
"Costa Rica 30 30 18","Costa Rica"
"Croatia 20.32 20.32 19","Croatia"
"Cyprus","Cyprus"
"Denmark 28 28 22","Denmark"
"Dominican Republic 25 30 23","Dominican Republic"
"Ecuador","Ecuador"
"Estonia 0/24 0/23 25","Estonia"
"Fiji 31 31 26","Fiji"
"Finland 26 26 27","Finland"
"France 33.83 33.33 28","France"
"Greece 24/32 22/29 30","Greece"
"Honduras 30 30 31","Honduras"
"Hungary 16 16 33","Hungary"
"Iceland 18 18 34","Iceland"
"Indonesia 30 30 36","Indonesia"
"Ireland","Ireland"
"Israel 34 31 38","Israel"
"Italy 37.25 37.25 39","Italy"
"Japan","Japan"
"Jamaica 33.3 33.3 41","Jamaica"
"Kazakhstan 30 30 42","Kazakhstan"
"Korea, Republic of 27.5 27.5 43","Korea"
